 NST=     1

  J  FUPIR_clear  FUPSOLTOT_clear  FDNIR_clear  FDNSOLTOT_clear  FUPIR_cloudy  FUPSOLTOT_cloudy  FDNIR_cloudy  FDNSOLTOT_cloudy
  1   2.214E+05   5.906E+04   0.000E+00   2.563E+05   1.075E+05   2.362E+05   0.000E+00   2.563E+05
  2   2.214E+05   5.906E+04   1.398E+02   2.563E+05   1.075E+05   2.362E+05   1.398E+02   2.563E+05
  3   2.214E+05   5.906E+04   1.739E+02   2.563E+05   1.075E+05   2.362E+05   1.739E+02   2.563E+05
  4   2.214E+05   5.906E+04   2.061E+02   2.563E+05   1.075E+05   2.362E+05   2.061E+02   2.563E+05
  5   2.214E+05   5.906E+04   2.374E+02   2.563E+05   1.075E+05   2.362E+05   2.374E+02   2.563E+05
  6   2.214E+05   5.906E+04   2.687E+02   2.562E+05   1.075E+05   2.362E+05   2.687E+02   2.562E+05
  7   2.214E+05   5.906E+04   3.009E+02   2.562E+05   1.075E+05   2.362E+05   3.009E+02   2.562E+05
  8   2.214E+05   5.906E+04   3.346E+02   2.562E+05   1.075E+05   2.362E+05   3.346E+02   2.562E+05
  9   2.214E+05   5.906E+04   3.700E+02   2.562E+05   1.075E+05   2.362E+05   3.700E+02   2.562E+05
 10   2.214E+05   5.906E+04   4.073E+02   2.562E+05   1.075E+05   2.362E+05   4.073E+02   2.562E+05
 11   2.214E+05   5.906E+04   4.473E+02   2.562E+05   1.075E+05   2.362E+05   4.473E+02   2.562E+05
 12   2.214E+05   5.906E+04   4.908E+02   2.562E+05   1.075E+05   2.362E+05   4.908E+02   2.562E+05
 13   2.214E+05   5.906E+04   5.389E+02   2.561E+05   1.075E+05   2.362E+05   5.389E+02   2.561E+05
 14   2.214E+05   5.906E+04   5.925E+02   2.561E+05   1.075E+05   2.362E+05   5.925E+02   2.561E+05
 15   2.214E+05   5.905E+04   6.525E+02   2.561E+05   1.075E+05   2.362E+05   6.525E+02   2.561E+05
 16   2.214E+05   5.905E+04   7.199E+02   2.561E+05   1.075E+05   2.362E+05   7.199E+02   2.561E+05
 17   2.214E+05   5.905E+04   7.956E+02   2.560E+05   1.075E+05   2.362E+05   7.956E+02   2.560E+05
 18   2.214E+05   5.905E+04   8.814E+02   2.560E+05   1.075E+05   2.362E+05   8.814E+02   2.560E+05
 19   2.214E+05   5.905E+04   9.807E+02   2.560E+05   1.075E+05   2.362E+05   9.807E+02   2.560E+05
 20   2.214E+05   5.905E+04   1.098E+03   2.559E+05   1.075E+05   2.362E+05   1.098E+03   2.559E+05
 21   2.214E+05   5.905E+04   1.237E+03   2.559E+05   1.075E+05   2.362E+05   1.237E+03   2.559E+05
 22   2.214E+05   5.905E+04   1.402E+03   2.558E+05   1.075E+05   2.362E+05   1.402E+03   2.558E+05
 23   2.214E+05   5.905E+04   1.596E+03   2.557E+05   1.075E+05   2.362E+05   1.596E+03   2.558E+05
 24   2.214E+05   5.905E+04   1.820E+03   2.557E+05   1.075E+05   2.362E+05   1.820E+03   2.557E+05
 25   2.214E+05   5.905E+04   2.073E+03   2.556E+05   1.075E+05   2.362E+05   2.073E+03   2.556E+05
 26   2.214E+05   5.904E+04   2.351E+03   2.555E+05   1.075E+05   2.362E+05   2.351E+03   2.556E+05
 27   2.214E+05   5.904E+04   2.649E+03   2.555E+05   1.075E+05   2.362E+05   2.649E+03   2.555E+05
 28   2.214E+05   5.904E+04   2.964E+03   2.554E+05   1.075E+05   2.362E+05   2.964E+03   2.554E+05
