  i  Z(km)      P(bar)      T(K)  
  1 7.2989E+06 1.0000E+01 1.8873E+02
  2 7.2005E+06 1.2023E+01 1.7224E+02
  3 7.1081E+06 1.4436E+01 1.6904E+02
  4 7.0161E+06 1.7308E+01 1.7383E+02
  5 6.9219E+06 2.0724E+01 1.8010E+02
  6 6.8254E+06 2.4778E+01 1.8543E+02
  7 6.7271E+06 2.9585E+01 1.8969E+02
  8 6.6276E+06 3.5275E+01 1.9329E+02
  9 6.5272E+06 4.2001E+01 1.9652E+02
 10 6.4260E+06 4.9940E+01 1.9953E+02
 11 6.3241E+06 5.9296E+01 2.0237E+02
 12 6.2218E+06 7.0308E+01 2.0508E+02
 13 6.1189E+06 8.3249E+01 2.0768E+02
 14 6.0157E+06 9.8434E+01 2.1016E+02
 15 5.9123E+06 1.1623E+02 2.1256E+02
 16 5.8085E+06 1.3705E+02 2.1486E+02
 17 5.7046E+06 1.6137E+02 2.1708E+02
 18 5.6006E+06 1.8974E+02 2.1923E+02
 19 5.4965E+06 2.2280E+02 2.2130E+02
 20 5.3924E+06 2.6125E+02 2.2329E+02
 21 5.2883E+06 3.0590E+02 2.2522E+02
 22 5.1844E+06 3.5770E+02 2.2709E+02
 23 5.0805E+06 4.1768E+02 2.2890E+02
 24 4.9768E+06 4.8703E+02 2.3066E+02
 25 4.8733E+06 5.6712E+02 2.3237E+02
 26 4.7701E+06 6.5945E+02 2.3404E+02
 27 4.6671E+06 7.6576E+02 2.3567E+02
 28 4.5644E+06 8.8796E+02 2.3727E+02
 29 4.4620E+06 1.0282E+03 2.3884E+02
 30 4.3599E+06 1.1890E+03 2.4050E+02
 31 4.2583E+06 1.3730E+03 2.4184E+02
 32 4.1572E+06 1.5833E+03 2.4256E+02
 33 4.0570E+06 1.8232E+03 2.4256E+02
 34 3.9579E+06 2.0965E+03 2.4185E+02
 35 3.8604E+06 2.4075E+03 2.4046E+02
 36 3.7644E+06 2.7608E+03 2.3850E+02
 37 3.6704E+06 3.1615E+03 2.3608E+02
 38 3.5784E+06 3.6153E+03 2.3335E+02
 39 3.4885E+06 4.1285E+03 2.3039E+02
 40 3.4007E+06 4.7081E+03 2.2727E+02
 41 3.3150E+06 5.3614E+03 2.2407E+02
 42 3.2316E+06 6.0970E+03 2.2084E+02
 43 3.1502E+06 6.9239E+03 2.1763E+02
 44 3.0709E+06 7.8519E+03 2.1452E+02
 45 2.9936E+06 8.8919E+03 2.1158E+02
 46 2.9183E+06 1.0056E+04 2.0890E+02
 47 2.8447E+06 1.1356E+04 2.0649E+02
 48 2.7727E+06 1.2806E+04 2.0437E+02
 49 2.7023E+06 1.4422E+04 2.0255E+02
 50 2.6333E+06 1.6219E+04 2.0100E+02
 51 2.5656E+06 1.8215E+04 1.9970E+02
 52 2.4992E+06 2.0427E+04 1.9863E+02
 53 2.4339E+06 2.2877E+04 1.9777E+02
