  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2055E-05 1.0000E+03 3.4261E+08
  2 1.4513E-05 1.0000E+03 3.3023E+08
  3 1.7446E-05 1.0000E+03 3.1567E+08
  4 2.0943E-05 1.0000E+03 2.9840E+08
  5 2.5106E-05 1.0000E+03 2.7942E+08
  6 3.0053E-05 1.0000E+03 2.6024E+08
  7 3.5924E-05 1.0000E+03 2.4194E+08
  8 4.2881E-05 1.0000E+03 2.2505E+08
  9 5.1114E-05 1.0000E+03 2.0969E+08
 10 6.0842E-05 1.0000E+03 1.9578E+08
 11 7.2318E-05 1.0000E+03 1.8313E+08
 12 8.5838E-05 1.0000E+03 1.7158E+08
 13 1.0174E-04 1.0000E+03 1.6098E+08
 14 1.2042E-04 1.0000E+03 1.5122E+08
 15 1.4233E-04 1.0000E+03 1.4219E+08
 16 1.6799E-04 1.0000E+03 1.3383E+08
 17 1.9799E-04 1.0000E+03 1.2607E+08
 18 2.3302E-04 1.0000E+03 1.1885E+08
 19 2.7386E-04 1.0000E+03 1.1214E+08
 20 3.2141E-04 1.0000E+03 1.0589E+08
 21 3.7668E-04 1.0000E+03 1.0009E+08
 22 4.4083E-04 1.0000E+03 9.4698E+07
 23 5.1517E-04 1.0000E+03 8.9685E+07
 24 6.0121E-04 1.0000E+03 8.5003E+07
 25 7.0062E-04 1.0000E+03 8.0603E+07
 26 8.1531E-04 1.0000E+03 7.6437E+07
 27 9.4745E-04 1.0000E+03 7.2468E+07
 28 1.0994E-03 1.0000E+03 6.8675E+07
 29 1.2740E-03 1.0000E+03 6.5049E+07
 30 1.4742E-03 1.0000E+03 6.1597E+07
 31 1.7035E-03 1.0000E+03 5.8331E+07
 32 1.9657E-03 1.0000E+03 5.5266E+07
 33 2.2649E-03 1.0000E+03 5.2415E+07
 34 2.6061E-03 1.0000E+03 4.9782E+07
 35 2.9945E-03 1.0000E+03 4.7358E+07
 36 3.4358E-03 1.0000E+03 4.5122E+07
 37 3.9366E-03 1.0000E+03 4.3037E+07
 38 4.5041E-03 1.0000E+03 4.1092E+07
 39 5.1461E-03 1.0000E+03 3.9278E+07
 40 5.8713E-03 1.0000E+03 3.7585E+07
 41 6.6892E-03 1.0000E+03 3.5989E+07
 42 7.6103E-03 1.0000E+03 3.4436E+07
 43 8.6461E-03 1.0000E+03 3.3008E+07
 44 9.8089E-03 1.0000E+03 3.1648E+07
 45 1.1112E-02 1.0000E+03 3.0420E+07
 46 1.2571E-02 1.0000E+03 2.9299E+07
 47 1.4202E-02 1.0000E+03 2.8295E+07
 48 1.6021E-02 1.0000E+03 2.7375E+07
 49 1.8048E-02 1.0000E+03 2.6688E+07
 50 2.0303E-02 1.0000E+03 2.6235E+07
 51 2.2807E-02 1.0000E+03 2.5740E+07
 52 2.5583E-02 1.0000E+03 2.5191E+07
 53 2.8657E-02 1.0000E+03 2.4579E+07
 54 3.2055E-02 1.0000E+03 2.3904E+07
 55 3.5806E-02 1.0000E+03 2.3175E+07
 56 3.9939E-02 1.0000E+03 2.2406E+07
 57 4.4486E-02 1.0000E+03 2.1614E+07
 58 4.9481E-02 1.0000E+03 2.0810E+07
 59 5.4959E-02 1.0000E+03 2.0005E+07
 60 6.0957E-02 1.0000E+03 1.9204E+07
 61 6.7515E-02 1.0000E+03 1.8413E+07
 62 7.4672E-02 1.0000E+03 1.7636E+07
 63 8.2472E-02 1.0000E+03 1.6873E+07
 64 9.0957E-02 1.0000E+03 1.6128E+07
 65 1.0017E-01 1.0000E+03 1.5399E+07
 66 1.1017E-01 1.0000E+03 1.4689E+07
 67 1.2099E-01 1.0000E+03 1.3997E+07
 68 1.3269E-01 1.0000E+03 1.3328E+07
 69 1.4531E-01 1.0000E+03 1.2681E+07
 70 1.5891E-01 1.0000E+03 1.2050E+07
 71 1.7354E-01 1.0000E+03 1.1434E+07
 72 1.8924E-01 1.0000E+03 1.0835E+07
 73 2.0608E-01 1.0000E+03 1.0252E+07
 74 2.2409E-01 1.0000E+03 9.6838E+06
 75 2.4334E-01 1.0000E+03 9.1309E+06
 76 2.6387E-01 1.0000E+03 8.5929E+06
 77 2.8572E-01 1.0000E+03 8.0695E+06
 78 3.0895E-01 1.0000E+03 7.5606E+06
 79 3.3359E-01 1.0000E+03 7.0658E+06
 80 3.5970E-01 1.0000E+03 6.5850E+06
 81 3.8729E-01 1.0000E+03 6.1179E+06
 82 4.1642E-01 1.0000E+03 5.6645E+06
 83 4.4710E-01 1.0000E+03 5.2246E+06
