  i  rg(cm)   reff(cm)   ndz(n/cm**3)  
  1 0.0000E+00 0.0000E+00 0.0000E+00
  2 0.0000E+00 0.0000E+00 0.0000E+00
  3 0.0000E+00 0.0000E+00 0.0000E+00
  4 0.0000E+00 0.0000E+00 0.0000E+00
  5 0.0000E+00 0.0000E+00 0.0000E+00
  6 0.0000E+00 0.0000E+00 0.0000E+00
  7 0.0000E+00 0.0000E+00 0.0000E+00
  8 0.0000E+00 0.0000E+00 0.0000E+00
  9 0.0000E+00 0.0000E+00 0.0000E+00
 10 0.0000E+00 0.0000E+00 0.0000E+00
 11 0.0000E+00 0.0000E+00 0.0000E+00
 12 0.0000E+00 0.0000E+00 0.0000E+00
 13 0.0000E+00 0.0000E+00 0.0000E+00
 14 0.0000E+00 0.0000E+00 0.0000E+00
 15 0.0000E+00 0.0000E+00 0.0000E+00
 16 0.0000E+00 0.0000E+00 0.0000E+00
 17 0.0000E+00 0.0000E+00 0.0000E+00
 18 0.0000E+00 0.0000E+00 0.0000E+00
 19 0.0000E+00 0.0000E+00 0.0000E+00
 20 0.0000E+00 0.0000E+00 0.0000E+00
 21 0.0000E+00 0.0000E+00 0.0000E+00
 22 2.9446E-05 9.7876E-05 7.8664E+03
 23 3.3922E-05 1.1275E-04 6.0331E+03
 24 3.8808E-05 1.2899E-04 4.7135E+03
 25 4.4027E-05 1.4634E-04 3.7688E+03
 26 4.9478E-05 1.6446E-04 3.0945E+03
 27 5.5050E-05 1.8298E-04 2.6144E+03
 28 6.0625E-05 2.0151E-04 2.2741E+03
 29 6.6099E-05 2.1971E-04 2.0356E+03
 30 7.1386E-05 2.3728E-04 1.8722E+03
 31 7.6200E-05 2.5328E-04 1.7812E+03
 32 8.0742E-05 2.6838E-04 1.7306E+03
 33 8.4861E-05 2.8207E-04 1.7213E+03
 34 8.8530E-05 2.9426E-04 1.7493E+03
 35 9.1608E-05 3.0449E-04 1.8206E+03
 36 9.4273E-05 3.1335E-04 1.9249E+03
 37 9.6468E-05 3.2065E-04 2.0685E+03
 38 9.8223E-05 3.2648E-04 2.2541E+03
 39 9.9457E-05 3.3058E-04 2.4946E+03
 40 1.0039E-04 3.3368E-04 2.7828E+03
 41 1.0100E-04 3.3570E-04 3.1296E+03
 42 1.0133E-04 3.3680E-04 3.5415E+03
