 NST=     1

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.752E-04   4.918E-04
  3   2.111E-04   1.021E-04
  4   7.619E-05   1.322E-05
  5   4.511E-05   4.216E-05
  6   3.951E-05   8.214E-05
  7   3.905E-05   9.053E-05
  8   3.949E-05   8.088E-05
  9   3.993E-05   6.507E-05
 10   4.040E-05   5.035E-05
 11   4.070E-05   3.970E-05
 12   4.106E-05   3.320E-05
 13   4.146E-05   2.983E-05
 14   4.201E-05   2.865E-05
 15   4.290E-05   2.871E-05
 16   4.418E-05   2.978E-05
 17   4.591E-05   3.150E-05
 18   4.803E-05   3.378E-05
 19   5.062E-05   3.639E-05
 20   5.365E-05   3.934E-05
 21   5.715E-05   4.241E-05
 22   6.107E-05   4.563E-05
 23   6.542E-05   4.883E-05
 24   7.012E-05   5.197E-05
 25   7.520E-05   5.489E-05
 26   8.051E-05   5.756E-05
 27   8.609E-05   5.986E-05
 28   9.164E-05   6.187E-05
 29   9.710E-05   6.367E-05
 30   1.022E-04   6.632E-05
 31   1.065E-04   6.957E-05
 32   1.092E-04   7.181E-05
 33   1.097E-04   7.229E-05
 34   1.068E-04   7.095E-05
 35   1.014E-04   6.797E-05
 36   9.376E-05   6.354E-05
 37   8.528E-05   5.813E-05
 38   7.743E-05   5.247E-05
 39   6.977E-05   4.695E-05
 40   6.347E-05   4.205E-05
 41   5.719E-05   3.760E-05
 42   5.182E-05   3.360E-05
 43   4.651E-05   2.977E-05
 44   4.172E-05   2.608E-05
 45   3.737E-05   2.255E-05
 46   3.335E-05   1.926E-05
 47   2.984E-05   1.628E-05
 48   2.683E-05   1.345E-05
 49   2.425E-05   1.103E-05
 50   2.208E-05   9.038E-06
 51   2.037E-05   7.455E-06
 52   1.893E-05   6.232E-06
 53   1.767E-05   5.284E-06
 54   1.667E-05   4.501E-06
 55   1.572E-05   3.828E-06
 56   1.478E-05   3.223E-06
 57   1.387E-05   2.654E-06
 58   1.293E-05   2.130E-06
 59   1.195E-05   1.645E-06
 60   1.097E-05   1.200E-06
 61   9.981E-06   7.713E-07
 62   8.976E-06   3.463E-07
 63   8.003E-06   1.154E-07
 64   7.128E-06   5.574E-07
 65   6.253E-06   4.540E-07
 66   5.385E-06   3.837E-07
 67   4.721E-06   3.844E-07
 68   4.143E-06   5.306E-07
 69   3.531E-06   1.870E-07
 70   2.950E-06   4.200E-07
 71   2.672E-06   5.743E-07
 72   2.412E-06   1.055E-06
 73   2.148E-06   1.613E-06
 74   1.960E-06   2.370E-06
 75   1.967E-06   3.279E-06
 76   1.982E-06   4.182E-06
 77   1.998E-06   5.015E-06
 78   2.143E-06   6.677E-06
 79   2.508E-06   9.211E-06
 80   2.810E-06   1.061E-05
 81   3.050E-06   1.269E-05
 82   3.504E-06   1.651E-05
 83   4.333E-06   2.104E-05
 84   4.871E-06   2.252E-05
 85   5.222E-06   2.266E-05
 86   5.639E-06   2.303E-05
 87   6.350E-06   2.414E-05
 88   6.659E-06   2.370E-05
 89   6.702E-06   2.277E-05
 90   6.679E-06   2.181E-05
 91   6.856E-06   2.134E-05
 92   6.895E-06   2.033E-05
 93   6.815E-06   1.941E-05
 94   6.852E-06   1.958E-05
 95   8.712E-06   2.446E-05
 96   1.027E-05   2.622E-05
 97   1.069E-05   2.443E-05
 98   1.051E-05   2.296E-05
 99   1.000E-05   2.273E-05
100   8.554E-06   2.070E-05
101   7.463E-08   1.933E-07
 NST=     2

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.708E-04   4.444E-04
  3   2.133E-04   1.562E-04
  4   7.689E-05   1.126E-04
  5   4.523E-05   1.182E-04
  6   3.955E-05   1.157E-04
  7   3.906E-05   1.025E-04
  8   3.948E-05   8.215E-05
  9   3.992E-05   6.332E-05
 10   4.039E-05   4.892E-05
 11   4.071E-05   3.917E-05
 12   4.108E-05   3.342E-05
 13   4.148E-05   3.043E-05
 14   4.203E-05   2.937E-05
 15   4.291E-05   2.948E-05
 16   4.418E-05   3.050E-05
 17   4.590E-05   3.210E-05
 18   4.802E-05   3.424E-05
 19   5.060E-05   3.667E-05
 20   5.361E-05   3.944E-05
 21   5.710E-05   4.232E-05
 22   6.102E-05   4.536E-05
 23   6.536E-05   4.839E-05
 24   7.007E-05   5.140E-05
 25   7.514E-05   5.421E-05
 26   8.045E-05   5.680E-05
 27   8.603E-05   5.907E-05
 28   9.159E-05   6.106E-05
 29   9.705E-05   6.286E-05
 30   1.021E-04   6.540E-05
 31   1.065E-04   6.875E-05
 32   1.091E-04   7.164E-05
 33   1.096E-04   7.259E-05
 34   1.068E-04   7.128E-05
 35   1.014E-04   6.818E-05
 36   9.372E-05   6.365E-05
 37   8.524E-05   5.820E-05
 38   7.739E-05   5.250E-05
 39   6.974E-05   4.696E-05
 40   6.343E-05   4.202E-05
 41   5.716E-05   3.755E-05
 42   5.179E-05   3.353E-05
 43   4.649E-05   2.971E-05
 44   4.170E-05   2.603E-05
 45   3.735E-05   2.252E-05
 46   3.334E-05   1.926E-05
 47   2.984E-05   1.629E-05
 48   2.682E-05   1.347E-05
 49   2.425E-05   1.105E-05
 50   2.208E-05   9.060E-06
 51   2.036E-05   7.474E-06
 52   1.892E-05   6.247E-06
 53   1.767E-05   5.295E-06
 54   1.666E-05   4.512E-06
 55   1.571E-05   3.840E-06
 56   1.478E-05   3.236E-06
 57   1.387E-05   2.671E-06
 58   1.293E-05   2.147E-06
 59   1.196E-05   1.670E-06
 60   1.097E-05   1.226E-06
 61   9.984E-06   8.183E-07
 62   8.979E-06   3.777E-07
 63   8.006E-06   1.043E-07
 64   7.129E-06   5.158E-07
 65   6.253E-06   4.210E-07
 66   5.384E-06   3.564E-07
 67   4.720E-06   3.593E-07
 68   4.141E-06   5.101E-07
 69   3.529E-06   1.753E-07
 70   2.948E-06   4.251E-07
 71   2.670E-06   5.779E-07
 72   2.410E-06   1.054E-06
 73   2.146E-06   1.607E-06
 74   1.958E-06   2.359E-06
 75   1.965E-06   3.262E-06
 76   1.981E-06   4.157E-06
 77   1.997E-06   4.976E-06
 78   2.141E-06   6.604E-06
 79   2.507E-06   9.028E-06
 80   2.809E-06   1.059E-05
 81   3.050E-06   1.290E-05
 82   3.504E-06   1.665E-05
 83   4.333E-06   2.118E-05
 84   4.871E-06   2.266E-05
 85   5.222E-06   2.281E-05
 86   5.640E-06   2.318E-05
 87   6.350E-06   2.429E-05
 88   6.659E-06   2.385E-05
 89   6.702E-06   2.292E-05
 90   6.679E-06   2.194E-05
 91   6.857E-06   2.145E-05
 92   6.896E-06   2.040E-05
 93   6.815E-06   1.949E-05
 94   6.853E-06   1.968E-05
 95   8.713E-06   2.451E-05
 96   1.027E-05   2.625E-05
 97   1.069E-05   2.445E-05
 98   1.051E-05   2.296E-05
 99   1.000E-05   2.270E-05
100   8.554E-06   2.063E-05
101   7.463E-08   1.918E-07
 NST=     3

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.703E-04   4.324E-04
  3   2.143E-04   2.426E-04
  4   7.676E-05   1.920E-04
  5   4.520E-05   1.637E-04
  6   3.963E-05   1.386E-04
  7   3.916E-05   1.091E-04
  8   3.957E-05   8.323E-05
  9   3.999E-05   6.236E-05
 10   4.047E-05   4.776E-05
 11   4.080E-05   3.839E-05
 12   4.115E-05   3.317E-05
 13   4.154E-05   3.058E-05
 14   4.208E-05   2.976E-05
 15   4.295E-05   3.000E-05
 16   4.422E-05   3.106E-05
 17   4.593E-05   3.263E-05
 18   4.804E-05   3.471E-05
 19   5.061E-05   3.705E-05
 20   5.362E-05   3.972E-05
 21   5.710E-05   4.248E-05
 22   6.101E-05   4.541E-05
 23   6.535E-05   4.833E-05
 24   7.005E-05   5.123E-05
 25   7.512E-05   5.395E-05
 26   8.044E-05   5.645E-05
 27   8.602E-05   5.864E-05
 28   9.158E-05   6.056E-05
 29   9.704E-05   6.230E-05
 30   1.021E-04   6.468E-05
 31   1.065E-04   6.803E-05
 32   1.091E-04   7.136E-05
 33   1.096E-04   7.276E-05
 34   1.068E-04   7.160E-05
 35   1.014E-04   6.845E-05
 36   9.372E-05   6.385E-05
 37   8.525E-05   5.836E-05
 38   7.739E-05   5.263E-05
 39   6.974E-05   4.706E-05
 40   6.343E-05   4.210E-05
 41   5.716E-05   3.761E-05
 42   5.179E-05   3.357E-05
 43   4.649E-05   2.974E-05
 44   4.170E-05   2.606E-05
 45   3.735E-05   2.255E-05
 46   3.334E-05   1.929E-05
 47   2.984E-05   1.632E-05
 48   2.682E-05   1.349E-05
 49   2.425E-05   1.107E-05
 50   2.208E-05   9.079E-06
 51   2.036E-05   7.492E-06
 52   1.892E-05   6.265E-06
 53   1.767E-05   5.312E-06
 54   1.666E-05   4.529E-06
 55   1.571E-05   3.857E-06
 56   1.478E-05   3.255E-06
 57   1.387E-05   2.689E-06
 58   1.293E-05   2.167E-06
 59   1.196E-05   1.690E-06
 60   1.097E-05   1.258E-06
 61   9.984E-06   8.335E-07
 62   8.979E-06   4.015E-07
 63   8.006E-06   7.911E-08
 64   7.129E-06   5.154E-07
 65   6.253E-06   4.004E-07
 66   5.384E-06   3.409E-07
 67   4.720E-06   3.447E-07
 68   4.141E-06   4.974E-07
 69   3.529E-06   1.675E-07
 70   2.948E-06   4.285E-07
 71   2.670E-06   5.792E-07
 72   2.410E-06   1.052E-06
 73   2.146E-06   1.600E-06
 74   1.958E-06   2.346E-06
 75   1.965E-06   3.243E-06
 76   1.981E-06   4.130E-06
 77   1.997E-06   4.935E-06
 78   2.141E-06   6.532E-06
 79   2.507E-06   8.842E-06
 80   2.809E-06   1.059E-05
 81   3.050E-06   1.318E-05
 82   3.505E-06   1.685E-05
 83   4.334E-06   2.137E-05
 84   4.872E-06   2.284E-05
 85   5.223E-06   2.297E-05
 86   5.640E-06   2.331E-05
 87   6.351E-06   2.440E-05
 88   6.660E-06   2.395E-05
 89   6.703E-06   2.300E-05
 90   6.679E-06   2.200E-05
 91   6.856E-06   2.149E-05
 92   6.895E-06   2.043E-05
 93   6.815E-06   1.950E-05
 94   6.852E-06   1.967E-05
 95   8.712E-06   2.448E-05
 96   1.027E-05   2.622E-05
 97   1.069E-05   2.441E-05
 98   1.051E-05   2.291E-05
 99   1.000E-05   2.265E-05
100   8.553E-06   2.057E-05
101   7.463E-08   1.909E-07
 NST=     4

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.702E-04   4.434E-04
  3   2.149E-04   3.221E-04
  4   7.664E-05   2.533E-04
  5   4.518E-05   2.012E-04
  6   3.969E-05   1.551E-04
  7   3.923E-05   1.147E-04
  8   3.964E-05   8.443E-05
  9   4.006E-05   6.170E-05
 10   4.055E-05   4.704E-05
 11   4.087E-05   3.792E-05
 12   4.121E-05   3.312E-05
 13   4.159E-05   3.073E-05
 14   4.213E-05   3.011E-05
 15   4.299E-05   3.043E-05
 16   4.425E-05   3.152E-05
 17   4.595E-05   3.308E-05
 18   4.805E-05   3.510E-05
 19   5.062E-05   3.737E-05
 20   5.362E-05   3.995E-05
 21   5.710E-05   4.263E-05
 22   6.100E-05   4.547E-05
 23   6.534E-05   4.830E-05
 24   7.004E-05   5.111E-05
 25   7.511E-05   5.374E-05
 26   8.043E-05   5.617E-05
 27   8.601E-05   5.829E-05
 28   9.157E-05   6.015E-05
 29   9.704E-05   6.184E-05
 30   1.021E-04   6.412E-05
 31   1.065E-04   6.743E-05
 32   1.091E-04   7.100E-05
 33   1.096E-04   7.273E-05
 34   1.068E-04   7.175E-05
 35   1.014E-04   6.863E-05
 36   9.372E-05   6.399E-05
 37   8.525E-05   5.846E-05
 38   7.739E-05   5.272E-05
