Type		STD		Rate at Bottom		Rate at Top
R		1		6.957162e-47		2.648092e-70
R		2		1.685379e-36		2.009906e-54
R		3		4.522978e-27		1.075503e-38
R		4		2.100000e-10		2.100000e-10
R		5		5.803458e-44		1.994911e-66
R		6		5.110347e-11		5.967865e-11
R		7		1.010000e-10		1.010000e-10
R		8		6.910000e-11		6.910000e-11
R		9		1.600000e-12		1.600000e-12
R		10		8.596401e-62		7.584431e-96
R		11		3.000000e-12		3.000000e-12
R		12		6.000000e-12		6.000000e-12
R		13		4.000000e-11		4.000000e-11
R		14		2.000000e-12		2.000000e-12
R		15		2.186476e-30		4.136024e-42
R		16		6.752444e-16		3.502982e-18
R		17		2.200000e-10		2.200000e-10
R		18		2.605758e-16		3.784259e-18
R		19		2.905783e-27		5.746189e-37
R		20		2.100000e-10		2.100000e-10
R		21		4.400000e-11		4.400000e-11
R		22		2.400000e-11		2.400000e-11
R		23		1.102603e-18		6.170058e-23
R		24		8.700000e-13		8.700000e-13
R		25		1.100000e-10		1.100000e-10
R		26		9.825550e-15		2.792147e-15
R		27		2.556392e-21		2.636054e-27
R		28		2.147243e-26		8.948882e-36
R		29		2.722881e-11		2.284157e-11
R		30		1.300000e-10		1.300000e-10
R		31		2.000000e-10		2.000000e-10
R		32		3.779052e-10		6.849988e-10
R		33		1.700000e-11		1.700000e-11
R		34		3.000000e-11		3.000000e-11
R		35		2.100000e-10		2.100000e-10
R		36		3.000000e-11		3.000000e-11
R		37		3.000000e-11		3.000000e-11
R		38		3.000000e-11		3.000000e-11
R		39		1.547948e-17		1.720573e-21
R		40		9.079131e-21		1.490583e-26
R		41		4.005633e-60		1.263851e-92
R		44		7.000000e-11		7.000000e-11
R		45		4.000000e-11		4.000000e-11
R		46		2.000000e-12		2.000000e-12
R		47		3.000000e-11		3.000000e-11
R		48		2.772698e-19		2.665550e-24
R		49		8.307003e-21		5.702006e-25
R		50		3.000000e-11		3.000000e-11
R		51		3.717594e-18		1.019652e-21
R		52		8.710468e-23		3.036461e-29
R		53		3.772875e-18		1.034814e-21
R		54		8.050026e-21		1.185826e-26
R		55		7.000000e-11		7.000000e-11
R		56		1.000000e-11		1.000000e-11
R		57		5.153554e-26		1.171545e-34
R		59		5.507821e-11		1.328840e-10
R		60		5.400000e-11		5.400000e-11
R		61		3.539076e-12		5.352289e-12
R		62		1.484643e-21		3.907223e-27
R		63		4.333385e-18		1.375217e-20
R		64		1.886361e-12		2.442901e-12
R		65		5.787971e-21		2.482842e-25
R		66		5.415666e-18		2.400322e-20
R		67		4.000000e-11		4.000000e-11
R		68		4.000000e-11		4.000000e-11
R		69		8.307003e-21		5.702006e-25
R		70		3.000000e-11		3.000000e-11
R		71		2.000000e-10		2.000000e-10
R		72		4.200000e-13		4.200000e-13
R		73		6.000000e-11		6.000000e-11
R		74		2.716674e-19		8.600607e-24
R		75		4.000000e-11		4.000000e-11
R		76		4.000000e-12		4.000000e-12
R		77		4.000000e-11		4.000000e-11
R		78		2.312077e-18		6.565219e-22
R		79		1.070494e-15		3.462198e-17
R		80		5.000000e-13		5.000000e-13
R		81		9.100000e-12		9.100000e-12
R		82		4.000000e-11		4.000000e-11
R		83		4.000000e-11		4.000000e-11
R		84		4.900000e-13		4.900000e-13
R		85		2.203316e-13		5.376965e-13
R		86		1.344396e-13		3.280860e-13
R		87		2.254988e-22		3.148293e-29
R		88		9.834489e-18		2.009380e-21
R		89		5.303672e-17		2.685438e-22
R		90		5.061727e-12		1.153333e-11
R		91		1.289171e-12		7.276766e-13
R		93		4.778476e-18		2.059170e-21
R		94		1.301820e-24		8.054114e-32
R		95		1.585217e-28		4.738325e-40
R		96		7.716298e-20		2.926754e-24
R		97		6.799776e-27		3.922387e-36
R		98		3.510190e-30		4.774315e-42
R		99		8.340685e-13		3.003855e-13
R		100		1.613457e-17		1.392815e-21
R		101		1.200000e-10		1.200000e-10
R		102		2.190000e-10		2.190000e-10
R		103		6.733079e-13		9.855611e-14
R		104		5.771014e-13		2.883906e-14
R		105		8.944863e-13		1.446126e-12
R		106		1.992477e-12		2.793007e-12
R		107		3.340740e-11		7.611995e-11
R		108		1.000000e-10		1.000000e-10
R		109		1.500000e-10		1.500000e-10
R		110		1.500000e-11		1.500000e-11
R		111		2.272393e-12		6.868931e-13
R		112		2.000000e-10		2.000000e-10
R		113		1.500000e-10		1.500000e-10
R		114		3.000000e-10		3.000000e-10
R		115		4.894455e-23		3.030062e-30
R		116		1.000000e-10		1.000000e-10
R		117		6.000000e-11		6.000000e-11
R		118		5.200000e-12		5.200000e-12
R		119		1.100000e-10		1.100000e-10
R		120		1.578044e-88		8.054105e-142
R		121		3.283274e-77		1.697979e-122
R		122		1.421506e-55		8.355905e-86
R		123		3.900000e-14		3.900000e-14
R		124		2.288226e-32		3.102137e-46
R		125		2.071377e-11		3.640893e-12
R		126		3.000000e-16		3.000000e-16
R		127		3.000000e-10		3.000000e-10
R		128		9.016501e-32		7.168899e-46
R		129		3.688739e-27		2.753019e-38
R		130		4.388702e-14		8.453365e-16
R		131		2.017272e-10		1.819081e-10
R		132		2.000000e-11		2.000000e-11
R		133		2.200000e-11		2.200000e-11
R		134		1.200000e-11		1.200000e-11
R		135		3.600973e-21		7.385669e-28
R		136		2.499550e-16		1.577016e-19
R		137		5.140744e-14		4.021920e-16
R		138		8.361450e-14		6.541677e-16
R		140		6.000000e-11		6.000000e-11
R		141		3.000000e-12		3.000000e-12
R		142		3.320000e-11		3.320000e-11
R		143		4.104634e-17		3.724924e-21
R		145		9.810142e-11		8.065526e-11
R		146		2.091793e-10		1.639299e-09
R		148		5.325566e-14		1.904026e-15
R		149		7.062409e-22		1.988117e-29
R		150		7.907737e-15		8.873168e-16
R		152		2.889219e-10		2.830075e-10
R		153		1.600000e-10		1.600000e-10
R		154		1.000000e-11		1.000000e-11
R		155		1.600000e-10		1.600000e-10
R		156		6.448501e-24		1.913803e-32
R		157		6.748459e-19		1.386199e-23
R		159		1.115079e-15		2.202739e-18
R		160		5.122074e-15		6.019229e-16
R		161		6.180354e-15		7.262871e-16
R		162		1.500000e-10		1.500000e-10
R		163		8.900000e-11		8.900000e-11
R		164		9.599071e-16		7.567263e-19
R		165		6.486033e-30		3.539245e-43
R		166		3.693921e-26		3.560264e-36
R		167		3.862329e-14		6.288837e-16
R		168		4.738239e-15		6.279487e-17
