Wavelength [A]	Flambda [erg s-1 cm-2 A-1]
       10.000000    0.0065313055
       14.000000    0.0030164769
       18.000000    0.0014777467
       22.000000   0.00080167806
       26.000000   0.00044035203
       30.000000   0.00027403119
       34.000000   0.00024394954
       38.000000   0.00016884959
       42.000000   0.00013489629
       46.000000   0.00012580561
       50.000000   8.5921134e-05
       54.000000   7.0485535e-05
       58.000000   6.6328473e-05
       62.000000   4.0888389e-05
       66.000000   4.1048756e-05
       70.000000   4.2004904e-05
       74.000000   5.2191527e-05
       78.000000   0.00029033541
       82.000000    0.0066145454
       86.000000    0.0022698649
       90.000000   0.00043301207
       94.000000      0.70388223
       98.000000    0.0063664891
       102.00000    0.0088409717
       106.00000   0.00042795687
       110.00000   5.5962873e-05
       114.00000      0.75300871
       118.00000     0.010306234
       122.00000   0.00063270315
       125.05644   0.00017893694
       125.13658   0.00018663797
       125.15644     0.059744785
       125.23658   0.00022861251
       125.24285   0.00023141953
       125.34285     0.035261436
       125.37060   0.00091201084
       125.47060    0.0035925267
       126.00000    0.0018993281
       128.06212    0.0017115910
       128.09559   0.00015951444
       128.16212   0.00016195710
       128.19559   0.00016255488
       128.20559   0.00016136153
       128.30559   0.00050234259
       128.37135     0.025287157
       128.47135   0.00017021585
       128.48676   0.00016776447
       128.58676   0.00017254405
       129.30207   0.00020127971
       129.34907   0.00020615791
       129.40207   0.00021301000
       129.44907       1.1225353
       129.68320   0.00027070732
       129.70739     0.012368015
       129.72364     0.010992589
       129.78320       5.8803070
       129.80435   0.00061631111
       129.80739   0.00065433477
       129.82364    0.0012348096
       129.90435     0.037931498
       130.00000       7.5683290
       132.74045   0.00030026174
       132.80867    0.0041342811
       132.84045     0.013480314
       132.90867     0.053407223
       134.00000      0.10181224
       137.39627     0.019489469
       137.46082    0.0060339263
       137.49627     0.044915889
       137.56082      0.18762902
       138.00000     0.031405087
       142.00000     0.015703628
       146.00000    0.0066603952
       150.00000     0.061844346
       154.00000    0.0052420360
       154.60248       2.9396796
       154.70248    0.0073756449
       157.50048      0.24808471
       157.98245       2.8353064
       158.00000       120.50359
       159.93430      0.19498446
       160.03430       53.100670
       160.05789      0.13633269
       160.15694       26.853444
       160.15789       46.989411
       160.25694      0.11759802
       162.00000      0.16184527
       162.65092       15.907429
       162.98495      0.42432635
       163.17073      0.20739582
       163.76701     0.093196585
       164.14564      0.10157808
       164.22384      0.23480103
       164.75938       2355.0493
       164.79837      0.54337543
       165.10213     0.085015869
       165.18925     0.088267332
       165.22808      0.10947123
       165.28925       7.7947107
       165.30333      0.26345109
       165.32808      0.33496544
       165.40333       2.2125852
       165.40895       12.779092
       165.50006      0.83579545
       165.50895       9.2896639
       165.54046       13.810201
       165.64046      0.10680707
       165.97078      0.10702864
       166.00000      0.10921945
       166.37908      0.50792548
       169.11743       3.2764233
       169.14157      0.83618043
       169.54736       1.2909220
       169.58865       1.3652117
       169.74274       1.7147468
       169.76900       2.4774221
       169.82937       2.3834168
       170.00000       2.6533834
       170.08171       3.1088517
       170.19356       3.9682589
       170.46834       8.4781286
       170.50938       9.7768736
       170.70404       23.003822
       170.79661       41.124440
       170.80405       42.973428
       170.85606       66.926791
       171.09468       7888.6012
       171.10835       2654.6056
       171.39415       30.995597
       171.60795       11.415633
       171.81393       5.9979108
       171.89966       4.8350392
       172.03344       970.50997
       172.13344       2.9943323
       172.29372       2.2766696
       172.30573       2.2397523
       172.38096       2.0197611
       172.39372       1.9683395
       172.40573       1.9288569
       172.47103       1.7627877
       172.48096       6.7406224
       172.57103       296.48314
       172.75137       1.2583458
       172.83877       1.2044811
       172.85137       1.2103194
       172.86318       1.2333888
       172.90259       2.1208014
       172.93877       2606.1535
       172.94868       102.80163
       172.96318       3.0542178
       173.00259       1.9574920
       173.04868       2.2418162
       173.30551       168.26741
       173.35880       74.799725
       173.44938       2.3184621
       173.45880      0.64180042
       173.75773      0.52083481
       173.85751      0.48528850
       173.85773      0.48528850
       173.94322      0.46462225
       173.95751       2.2125852
       174.00000      0.46505038
       174.02936      0.55616032
       174.04322      0.61037959
       174.10419       1.2906248
       174.22125       2.4620678
       174.92111      0.28451161
       175.03856      0.25888089
       175.82819      0.18724059
       175.84175      0.39491170
       175.88150      0.18373843
       175.92819      0.18050947
       175.93321      0.17807379
       175.94175       17.864876
       175.98150      0.43311178
       176.03321       7.4989421
       176.11508      0.16637957
       176.21508      0.16884959
       176.77637      0.49124710
       176.87637      0.13243415
       177.49974      0.10377673
       177.78966       1101.5393
       178.00000     0.093282462
       178.88410      0.11633222
       178.98410      0.14044297
       179.22175     0.074421771
       179.24204     0.073198132
       179.28837     0.071466086
       179.32175     0.090698478
       179.34204     0.070080953
       179.38837     0.069903674
       179.73534     0.066130225
       179.96131       3.0185613
       180.30526       3.0095392
       180.75013       2.1963422
       180.79276     0.066023721
       180.85013       2.3067472
       180.85344       3.1470236
       180.89276      0.15863536
       180.95344       1.6424797
       180.97173      0.92960832
       181.07173       5.6532735
       181.14971     0.098107001
       181.27554      0.74627690
       181.27643      0.70534241
       182.00000       2.3474697
       182.24208       18.685297
       182.39332       19.948029
       182.55267       2.5615333
       182.66652       23.938669
       182.74663       5.6780603
       182.97204       1.8433169
       183.57078      0.68960436
       183.72964       31.521001
       183.74719       15.251059
       184.01268       11.863149
       184.11268       448.74539
       184.14284       3.0810589
       184.17102       1.5845283
       184.18572     0.071301719
       184.19202     0.071845571
       184.20966     0.079928194
       184.24284       3.0725574
       184.27102       199.06733
       184.28572       1.1204694
       184.37263      0.94123919
       184.47263       59.937690
       184.54492       2.6588877
       184.64492       8.9887645
       185.40217       12.531412
       185.53492      0.14608311
       186.00000     0.072627317
       186.06475       5.2432432
       186.16475       3.0612585
       186.24757      0.10957210
       186.34757      0.17623818
       186.51427       1.2843991
       186.51447       1.2903276
       186.61447       246.60393
       186.85722      0.16919986
       186.95722      0.11574440
       187.08290       7.5945142
       187.19661       2.8164367
       187.26426       2.4171300
       187.36426     0.071729863
       187.48672      0.72794740
       188.40457      0.69390497
       188.62916      0.73383767
       188.72916     0.026085550
       188.78158     0.025698040
       188.85823       6.3139334
       188.87110     0.025281335
       188.91939       1.1789625
       189.17656     0.024513200
       189.27656       517.60683
       189.34682      0.13280059
       190.00000     0.025258061
       191.55870     0.045060914
       191.58329     0.029936429
       191.60652       2.3179283
       191.63112     0.030457903
       191.64908     0.030874505
       191.65092     0.030902954
       191.67410     0.031528260
       191.67998     0.031688377
       191.69923     0.032583670
       191.70199     0.032771778
       191.72702     0.033511973
       191.74801     0.034530272
       191.74812     0.034538224
       192.13802       73.739468
       192.14173       27.970485
       192.16287     0.044730113
       192.18613     0.042471735
       192.20032       9.2257143
       192.23135      0.71350989
       192.24173      0.87437957
       192.25464     0.022956200
       192.82294     0.018067581
       192.91348       39.920870
       193.01348       703.07232
       193.03139     0.018096726
       193.12812       59.265234
       193.13139       64.998001
       193.22812     0.018565216
       193.33668       120.78138
       193.43668     0.019638124
       193.68038       16.877185
       193.78038     0.027861212
       193.80446     0.030019261
       194.00000      0.31550046
       194.03724       1.2425103
       194.12199      0.40973211
       194.31901     0.071055876
       194.63822       6.5493771
       195.52854       4.8932792
       195.53050       4.8540025
       195.56377       2.1032941
       195.63050     0.035522212
       195.66377     0.038556713
       195.83946      0.13842037
       195.85964       1.8945235
       195.93946       2.0314213
       196.00610       1.9611012
       196.00779       1.7664445
       197.22781       92.235902
       197.26049       3.6745148
       197.26715       1.7151417
       197.36049       3715.3523
       197.36715       2971.6660
       198.00000     0.016645621
       198.32518       22.136044
       200.91904     0.020262825
       200.92623     0.019778803
       200.93185     0.019310788
       200.96616     0.020450315
       200.99391     0.026091557
       201.01880      0.18373843
       201.02070      0.44709519
       201.02623       6.6084560
       201.03185       40.878975
       201.07337     0.032832201
       201.09375       23.572194
       202.00000     0.016838368
       202.14849      0.84158890
       202.18247       24.541438
       202.25864     0.016028763
       202.35864       60.981766
       202.49177     0.019431217
       202.70836     0.013928361
       202.71887     0.014079914
       202.76077     0.015314400
       203.05354       7.4851412
       203.28191     0.015863536
       203.32404     0.014547890
       205.83683     0.014154678
       205.93912     0.064476284
       205.96588      0.71581369
       206.00000     0.023388372
       206.00046     0.022532013
       206.02644     0.019368679
       206.02699     0.019417799
       206.56716     0.029655141
       206.63258       7.1449633
       206.63360       8.1096106
       206.66716       1.0078595
       206.87292     0.025633033
       207.29590     0.023670095
       207.45930      0.89268862
       207.88469     0.034954251
       207.99568      0.19076557
       209.40606     0.024093506
       209.46922     0.023889112
       210.00000     0.029154124
       211.40340     0.043042749
       212.35083     0.059319844
       212.41177      0.91075172
       212.41394       1.6811250
       212.41570       2.5107299
       212.41804       3.6982818
       212.97499     0.073231849
       213.05667     0.076190356
       213.06298     0.076137743
       214.00000      0.11119877
       214.23000      0.20165082
       214.23750      0.16084220
       214.24388      0.14797897
       214.27468      0.12989726
       214.28106      0.12909220
       214.58679      0.14083156
       214.85890       73.943499
       214.86958       135.20726
       215.04552       12823.306
       215.07903       1.9006406
       215.21779      0.18513989
       215.22442      0.18569491
       215.33617      0.50874482
       215.48141      0.20907399
       215.66044      0.23393758
       215.67922       2.8674774
       216.11769      0.29491713
       216.94044       1.9120533
       217.04044       11.582438
       217.28307       1.6428579
       217.38307      0.96116954
       217.51695       1.7139573
       217.54670      0.77911219
       217.61695       1.3495842
       217.64670       20.365731
       217.92832      0.63855749
       218.00000       4.4106236
       218.02832      0.63723556
       218.20962       19.301897
       218.30962       12.393672
       218.41489      0.71961466
       218.51489      0.84547350
       218.92657      0.87297137
       218.99236       4.1869715
       219.02657      0.90260971
       219.06875      0.91875560
       219.09236      0.92789749
       219.16875       1.7918432
       219.29971       1.0141449
       219.34530       1.0344274
       219.39718       1.0590099
       219.39971       1.0602298
       219.44530       1.2083702
       219.49112       2.3388372
       219.49647       2.4825614
       219.49718       2.5182567
       219.59112       1.4767263
       219.59647       2.9744043
       219.81230       8.0667760
       219.87363       17.807379
       219.88035       20.040105
       219.89099       1.6572957
       219.91230       26.779348
