Wavelength [A]	Flambda [erg s-1 cm-2 A-1]
       10.000000   1.0887546e-09
       14.000000   3.6584742e-10
       18.000000   2.0021656e-10
       22.000000   1.7635996e-10
       26.000000   1.9261939e-10
       30.000000   6.6083038e-08
       34.000000   5.2929769e-06
       38.000000   6.3139334e-06
       42.000000   1.5736205e-07
       46.000000   3.1856642e-05
       50.000000   1.8962692e-06
       54.000000   6.6115000e-07
       58.000000   1.0911891e-06
       62.000000   4.8820250e-06
       66.000000   6.6359026e-06
       70.000000   5.3505694e-06
       74.000000   5.7029557e-06
       78.000000   2.3856130e-05
       82.000000   0.00056990176
       86.000000   0.00018184443
       90.000000   3.0535146e-05
       94.000000     0.049865480
       98.000000   0.00051487286
       102.00000   0.00074456051
       106.00000   3.8071501e-05
       110.00000   4.4442655e-06
       114.00000     0.066619290
       118.00000   0.00086218408
       122.00000   4.8899003e-05
       125.05644   1.4879900e-05
       125.13658   1.5363848e-05
       125.15644    0.0049980431
       125.23658   1.8853848e-05
       125.24285   1.9306342e-05
       125.34285    0.0029525686
       125.37060   7.5805375e-05
       125.47060   0.00029785164
       126.00000   0.00015427658
       128.06212   0.00014331776
       128.09559   1.3611312e-05
       128.16212   1.3724610e-05
       128.19559   1.3791135e-05
       128.20559   1.3800665e-05
       128.30559   4.0513522e-05
       128.37135    0.0021315720
       128.47135   1.4344982e-05
       128.48676   1.4364814e-05
       128.58676   1.4652104e-05
       129.30207   1.7025505e-05
       129.34907   1.7354016e-05
       129.40207   1.7815581e-05
       129.44907     0.097409205
       129.68320   2.2105483e-05
       129.70739    0.0010041533
       129.72364   0.00090323342
       129.78320      0.40916643
       129.80435   4.9317380e-05
       129.80739   5.2347989e-05
       129.82364   7.9634269e-05
       129.90435    0.0031673788
       130.00000      0.66160686
       132.74045   2.5662561e-05
       132.80867   0.00035571322
       132.84045   0.00089804893
       132.90867    0.0044874539
       134.00000    0.0085802511
       137.39627    0.0015889126
       137.46082   0.00024934462
       137.49627    0.0037975194
       137.56082     0.015812480
       138.00000    0.0024327641
       142.00000    0.0013639549
       146.00000   0.00059758543
       150.00000    0.0050956548
       154.00000   0.00047818946
       154.60248      0.26272415
       154.70248   0.00068817676
       157.50048     0.021877616
       157.98245      0.25339614
       158.00000       10.814340
       159.93430     0.017143520
       160.03430       4.7358725
       160.05789     0.012097622
       160.15694       2.4038092
       160.15789       4.2033930
       160.25694     0.010435181
       162.00000    0.0073536000
       162.65092       1.3787960
       162.98495     0.038045211
       163.17073     0.019368679
       163.76701    0.0084372322
       164.14564    0.0092002579
       164.22384     0.020758693
       164.75938       213.79621
       164.79837     0.048741625
       165.10213    0.0075110387
       165.18925    0.0077696240
       165.22808    0.0095279616
       165.28925      0.69935873
       165.30333     0.023393758
       165.32808     0.029737195
       165.40333      0.19601983
       165.40895       1.1402498
       165.50006     0.074576157
       165.50895      0.83195531
       165.54046       1.2390819
       165.64046    0.0094907383
       165.97078    0.0098197402
       166.00000     0.010011520
       166.37908     0.045729873
       169.11743      0.30109254
       169.14157     0.076120214
       169.54736      0.11981191
       169.58865      0.12673600
       169.74274      0.15940429
       169.76900      0.22724796
       169.82937      0.22019122
       170.00000      0.24688801
       170.08171      0.28933435
       170.19356      0.36940264
       170.46834      0.78958702
       170.50938      0.91054204
       170.70404       2.1428906
       170.79661       3.8317750
       170.80405       4.0114372
       170.85606       6.2373484
       171.09468       736.20710
       171.10835       248.88573
       171.39415       2.8940098
       171.60795       1.0634082
       171.81393      0.55859880
       171.89966      0.45029798
       172.03344       87.942741
       172.13344      0.27841972
       172.29372      0.21139757
       172.30573      0.20792179
       172.38096      0.18715438
       172.39372      0.18243157
       172.40573      0.17885455
       172.47103      0.16341804
       172.48096      0.60506217
       172.57103       26.644035
       172.75137      0.11643941
       172.83877      0.11056050
       172.85137      0.11086641
       172.86318      0.11259005
       172.90259      0.18698209
       172.93877       190.98533
       172.94868       8.2035154
       172.96318      0.26797853
       173.00259      0.17506527
       173.04868      0.19244206
       173.30551       15.073010
       173.35880       6.7034751
       173.44938      0.20734807
       173.45880     0.059470282
       173.75773     0.048061796
       173.85751     0.044647793
       173.85773     0.044637514
       173.94322     0.042775983
       173.95751      0.19373139
       174.00000     0.042933866
       174.02936     0.045593192
       174.04322     0.050710746
       174.10419      0.11689609
       174.22125      0.22238219
       174.92111     0.026151704
       175.03856     0.023982806
       175.82819     0.016943378
       175.84175     0.037393834
       175.88150     0.016538648
       175.92819     0.016165904
       175.93321     0.016132438
       175.94175       1.7092280
       175.98150     0.041428575
       176.03321      0.66788240
       176.11508     0.015251059
       176.21508     0.015378005
       176.77637     0.047435120
       176.87637     0.012271566
       177.49974    0.0096427299
       177.78966       99.403116
       178.00000    0.0086476878
       178.88410     0.010560877
       178.98410     0.012685278
       179.22175    0.0068296744
       179.24204    0.0067173813
       179.28837    0.0065539029
       179.32175    0.0081752304
       179.34204    0.0064298375
