Total_Molecules: 84
Total_Reactions: 731
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 8.10e+12

  P6	H2O			= H	+ OH		4.017055e+12
  M89	OH	+ CO		= CO2	+ H		1.964181e+12
  R512	OH	+ H2		= H2O	+ H		1.364148e+12
  R445	O	+ OH		= O2	+ H		7.510151e+11
  P20	CH2O			= CHO	+ H		3.187520e+09
  T46	CHO			= CO	+ H		7.010738e+08
  R427	O	+ CHO		= CO2	+ H		2.643922e+08
  R415	O	+ CH3		= CH2O	+ H		1.115976e+08
  R433	O	+ H2		= H	+ OH		1.087052e+08
  R416	O	+ CH3		= CO	+ H2	+ H	4.559558e+07
  P73	H2O			= H	+ H	+ O	4.924158e+06 (x2)
  R455	O(1D)	+ H2		= H	+ OH		1.537670e+06
  P40	CH4O			= CH3O	+ H		1.072297e+06
  R597	CH21	+ H2		= CH3	+ H		5.093263e+05
  P32	CH4			= CH3	+ H		4.492598e+05
  R408	O	+ CH		= CO	+ H		6.909907e+04
  P34	CH4			= CH	+ H2	+ H	6.574534e+04
  R411	O	+ CH2		= CO	+ H	+ H	3.922784e+04 (x2)
  T47	CH3O			= CH2O	+ H		8.762574e+03
  R403	O	+ C2H5		= C2H4O	+ H		8.241580e+03
  R449	O(1D)	+ CH4		= CH3O	+ H		5.175116e+03
  R203	H2	+ CH3		= CH4	+ H		7.761600e+02
  T38	C2H5O			= C2H4O	+ H		7.426098e+01
  R396	O	+ C2H4		= C2H3O	+ H		6.422091e+01
  P71	HNO			= NO	+ H		3.629757e+01
  T49	CHO2			= CO2	+ H		6.889748e+00
  R452	O(1D)	+ CH4O		= CH3O2	+ H		2.369388e+00
  R33	CH	+ CH4		= C2H4	+ H		2.573950e-01
  R492	OH	+ CH2		= CH2O	+ H		2.055548e-01
  P63	C2H6			= C2H4	+ H	+ H	1.587539e-01 (x2)
  R206	H2	+ CHO		= CH2O	+ H		1.277776e-01
  R202	H2	+ CH		= CH2	+ H		6.265938e-02
  R204	H2	+ CH3O		= CH4O	+ H		5.545694e-02
  P57	C2H3			= C2H2	+ H		4.127947e-02
  R295	N	+ OH		= NO	+ H		3.487875e-02
  R395	O	+ C2H3		= C2H2O	+ H		1.222838e-02
  P59	C2H4			= C2H2	+ H	+ H	3.730730e-03 (x2)
  P56	C2H2			= C2H	+ H		2.807647e-03
  R198	H2	+ C2H5		= C2H6	+ H		2.455220e-03
  R304	NH	+ O		= NO	+ H		1.082682e-03
  P60	C2H4			= C2H3	+ H		7.461461e-04
  R370	NO2	+ CHO		= NO	+ CO2	+ H	6.774136e-04
  R390	O	+ C2H2		= H	+ C2HO		5.777218e-04
  R495	OH	+ CH3		= CH3O	+ H		3.092670e-04
  R44	CH2	+ CH3		= C2H4	+ H		3.019116e-04
  R195	H2	+ C2H		= C2H2	+ H		2.340008e-04
  P42	NH3			= NH2	+ H		3.412336e-06
  R322	NH2	+ O		= H	+ HNO		8.114887e-07
  R209	H2	+ HO2		= H2O2	+ H		4.545501e-07
  P28	CH2O2			= CHO2	+ H		3.053976e-07
  R308	NH	+ OH		= H	+ HNO		1.488485e-07
  P41	HCN			= H	+ CN		6.571883e-08
  R197	H2	+ C2H3		= C2H4	+ H		3.668338e-08
  R281	N	+ CH		= CN	+ H		1.350921e-08
  R435	O	+ HCN		= H	+ CNO		1.144244e-08
  R339	NO	+ CH		= H	+ CNO		1.504223e-09
  T27	C2H5			= C2H4	+ H		8.157091e-10
  R212	H2	+ NH2		= NH3	+ H		2.779373e-10
  R205	H2	+ CH3O2		= CH4O2	+ H		1.747034e-10
  R207	H2	+ CN		= HCN	+ H		2.716482e-11
  R506	OH	+ CN		= H	+ CNO		6.019791e-12
  R479	OH	+ C2H2		= C2H2O	+ H		7.762343e-14
  R301	NH	+ NO		= N2O	+ H		4.397094e-15
  R528	OH	+ SO		= SO2	+ H		1.313658e-15
  T2	HO2			= O2	+ H		1.050051e-15
  R289	N	+ NH		= N2	+ H		1.132698e-17
  R277	N	+ C2H3		= C2H2N	+ H		2.870624e-18
  R213	H2	+ NO2		= H	+ HNO2		1.749763e-18
  T8	HNO			= H	+ NO		7.052343e-19
  R527	OH	+ S		= H	+ SO		3.464873e-19
  R266	HS	+ O		= H	+ SO		3.034659e-19
  P70	C2H5N			= HCN	+ CH3	+ H	1.517231e-19
  R3	C	+ H2		= CH	+ H		9.831175e-22
  R327	NH3	+ CH		= HCN	+ H2	+ H	8.987800e-22
  P68	N2H4			= N2H3	+ H		3.144054e-24
  P45	H2S			= HS	+ H		2.533676e-24
  T25	C2H3			= C2H2	+ H		2.269768e-26
  R546	SO2	+ C2H		= CO	+ OCS	+ H	1.630931e-31
  R10	H2	+ C2H4		= C2H5	+ H		6.670477e-42
  T28	C2H6			= C2H5	+ H		3.550882e-45
  T19	CH4O			= CH3O	+ H		2.937775e-45
  T43	HOSO			= SO2	+ H		6.209106e-47
  R41	H2	+ C2H2		= C2H3	+ H		2.346955e-47
  R533	S	+ HS		= H	+ S2		3.453038e-50
  T42	HSO			= SO	+ H		2.615826e-53
  T57	HCN			= H	+ CN		1.452897e-70
  T59	H2S			= HS	+ H		7.000275e-75
  P38	H2			= H	+ H		0.000000e+00 (x2)

H				LOSS RXS		INT RX RATE	TL = 8.09e+12

  M17	H	+ O2		= HO2			2.521815e+12
  M18	H	+ OH		= H2O			1.964144e+12
  M13	H	+ H		= H2			8.048130e+11 (x2)
  R180	H	+ HO2		= OH	+ OH		7.936839e+11
  M12	H	+ CO		= CHO			4.540152e+11
  R162	H	+ CHO		= CO	+ H2		4.381835e+11
  R182	H	+ HO2		= H2	+ O2		7.606137e+10
  R192	H	+ O3		= OH	+ O2		6.754806e+10
  M10	H	+ CHO		= CH2O			5.680723e+10
  M16	H	+ O		= OH			3.641892e+10
  R148	H	+ CH2O		= H2	+ CHO		3.167487e+10
