Total_Molecules: 84
Total_Reactions: 731
Sorting by     : TP Descending
************************************************************

O2				PRODUCTION RXS		INT RX RATE	TP = 6.27e+12

  P4	O3			= O2	+ O(1D)		2.630115e+12
  R441	O	+ HO2		= OH	+ O2		1.381959e+12
  R445	O	+ OH		= O2	+ H		6.627708e+11
  R522	OH	+ HO2		= H2O	+ O2		5.813065e+11
  P3	O3			= O2	+ O		4.200705e+11
  M34	O	+ O		= O2			2.740220e+11
  R257	HO2	+ HO2		= H2O2	+ O2		1.225037e+11
  R192	H	+ O3		= OH	+ O2		1.000532e+11
  R182	H	+ HO2		= H2	+ O2		7.135742e+10
  M19	HO2	+ HO2		= H2O2	+ O2		3.001395e+10
  R500	OH	+ CH3O2		= CH4O	+ O2		2.105104e+08
  R254	HO2	+ CH3O2		= CH4O2	+ O2		1.530591e+08
  R444	O	+ O3		= O2	+ O2		1.454251e+08 (x2)
  R422	O	+ CH3O2		= CH3O	+ O2		1.143352e+08
  R464	O(1D)	+ O2		= O	+ O2		1.281469e+07
  R525	OH	+ O3		= HO2	+ O2		9.367508e+06
  R261	HO2	+ O3		= OH	+ O2	+ O2	2.742539e+06 (x2)
  R420	O	+ CH3O		= CH3	+ O2		6.574405e+05
  R470	O3	+ CH3		= CH3O	+ O2		5.374699e+04
  T1	O3			= O2	+ O		1.346158e+04
  R465	O(1D)	+ O3		= O2	+ O2		2.764509e+03 (x2)
  R466	O(1D)	+ O3		= O2	+ O	+ O	2.764509e+03
  R85	CH3O2	+ CH3O2		= CH3O	+ CH3O	+ O2	2.736121e+03
  R86	CH3O2	+ CH3O2		= CH4O	+ CH2O	+ O2	1.669497e+03
  M90	O	+ NO2		= NO	+ O2		4.989912e+02
  R251	HO2	+ C2H5		= C2H6	+ O2		4.802242e+02
  R471	O3	+ CH3O		= CH3O2	+ O2		3.705096e+01
  P9	NO3			= NO	+ O2		3.261828e+00
  R521	OH	+ HNO4		= H2O	+ NO2	+ O2	2.756355e+00
  R443	O	+ NO3		= NO2	+ O2		2.014884e+00
  R472	O3	+ CH3O2		= CH3O	+ O2	+ O2	1.518459e+00 (x2)
  R459	O(1D)	+ N2O		= O2	+ N2		5.456194e-01
  R354	NO	+ O3		= NO2	+ O2		3.939238e-01
  R469	O3	+ C2H5		= C2H5O	+ O2		2.407691e-01
  R260	HO2	+ NO3		= OH	+ NO2	+ O2	7.036935e-02
  T6	NO3			= NO	+ O2		2.647659e-02
  R440	O	+ HNO4		= HNO3	+ O2		1.507472e-04
  R462	O(1D)	+ NO		= O2	+ N		3.380581e-05
  R294	N	+ O3		= NO	+ O2		3.184201e-05
  R377	NO2	+ O3		= NO3	+ O2		9.366814e-06
  R384	NO3	+ CH3O2		= CH3O	+ NO2	+ O2	6.648211e-06
  R156	H	+ CH3O2		= CH4	+ O2		3.918545e-06
  R258	HO2	+ NH2		= NH3	+ O2		3.494707e-06
  R463	O(1D)	+ NO2		= O2	+ NO		1.530103e-07
  T2	HO2			= O2	+ H		6.270692e-13
  R244	HO2	+ C2H2		= C2H3	+ O2		4.708513e-13
  R432	O	+ CNO		= CN	+ O2		3.400885e-14
  R376	NO2	+ NO3		= NO	+ NO2	+ O2	4.920711e-15
  R387	NO3	+ NO3		= NO2	+ NO2	+ O2	4.309574e-19
  R545	SO	+ O3		= SO2	+ O2		3.201859e-20
  R570	S	+ HO2		= HS	+ O2		2.135906e-20
  R537	S	+ O3		= O2	+ SO		1.355877e-20
  R269	HS	+ O3		= O2	+ HSO		8.464930e-23
  R551	SO2	+ HO2		= HOSO	+ O2		5.082436e-23
  R271	HSO	+ O3		= HS	+ O2	+ O2	1.010216e-23 (x2)
  R216	HSO	+ O3		= HOSO	+ O2		4.329497e-24
  R553	SO2	+ O		= SO	+ O2		6.330017e-34
  R555	SO3	+ O		= SO2	+ O2		1.564246e-50
  R126	CS	+ O3		= O2	+ OCS		2.317049e-55
