# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R1	3.051340e-60
R2	2.553293e-53
R3	1.467429e-21
R4	1.570893e-36
R5	3.254184e-33
R6	2.406509e+07
R7	4.600964e-38
R8	5.527911e-24
R9	9.294865e-20
R10	3.628673e-43
R11	1.134863e-14
R12	8.795634e-09
R13	4.313785e-09
R14	2.193287e-07
R15	3.299396e-30
R16	3.099544e-08
R17	3.104738e-17
R18	7.439429e-14
R19	5.375619e-22
R20	3.346770e-15
R21	1.372405e-09
R22	7.485846e-10
R23	1.469257e-10
R24	1.061899e-15
R25	1.342631e-13
R26	6.658955e+03
R27	4.270523e-18
R28	4.804964e-16
R29	1.318985e-12
R30	3.488237e-03
R31	5.828876e-05
R32	1.294534e+01
R33	9.867772e+02
R34	1.061351e-13
R35	1.497607e-03
R36	7.859814e-14
R37	4.838929e-07
R38	1.095609e-07
R39	4.442847e-11
R40	7.629248e-17
R41	9.867252e-49
R44	3.458694e-03
R45	4.626484e-05
R46	2.313242e-06
R47	2.257583e-04
R48	1.373972e-06
R49	4.531095e-12
R50	2.746528e-03
R51	4.665263e-12
R52	3.516360e-09
R53	1.505154e-04
R54	5.973605e-06
R55	1.850998e-09
R56	1.246169e-08
R57	1.114311e-20
R59	2.236602e-05
R60	8.610041e+01
R61	6.681975e+00
R62	4.176124e-11
R63	2.575436e-05
R64	1.054917e+00
R65	6.026502e-06
R66	9.498095e+00
R67	6.494384e+03
R68	1.430965e+05
R69	3.085124e-03
R70	4.441746e+05
R71	2.961164e+06
R72	4.039492e-12
R73	8.520182e-11
R74	4.814584e-14
R75	4.026801e-07
R76	6.580309e-02
R77	6.580309e-01
R78	8.240910e-05
R79	5.940765e+01
R80	9.723783e+01
R81	5.370088e+08
R82	1.626972e-05
R83	2.369213e+01
R84	2.684820e+03
R85	4.324712e+03
R86	2.638807e+03
R87	1.558898e-07
R88	0.000000e+00
R89	0.000000e+00
R90	0.000000e+00
R91	2.125378e-03
R93	1.190174e-07
R94	9.177649e-08
R95	4.087037e-07
R96	8.428013e+00
