# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R1	1.587520e-53
R2	1.153975e-44
R3	3.631214e-15
R4	0.000000e+00
R5	2.814407e-34
R6	2.826563e+07
R7	6.306044e-36
R8	1.429964e-21
R9	8.512090e-10
R10	1.177878e-45
R11	9.259011e-08
R12	1.528308e-03
R13	3.097189e-04
R14	1.269343e-01
R15	2.532586e-32
R16	1.301855e-04
R17	9.341005e-07
R18	6.301845e-11
R19	2.203677e-24
R20	1.049028e-06
R21	2.353013e-06
R22	1.283462e-06
R23	1.369785e-12
R24	9.539645e-14
R25	1.206162e-11
R26	6.556730e+02
R27	4.308180e-18
R28	1.929609e-17
R29	7.337532e-07
R30	6.960110e+01
R31	1.092701e+00
R32	9.370565e+04
R33	6.888771e+05
R34	2.474093e-05
R35	2.847012e+01
R36	4.915037e-05
R37	5.277268e-02
R38	2.439119e-03
R39	2.105579e-09
R40	2.622037e-13
R41	2.051332e-50
R44	1.450130e+02
R45	7.741594e-01
R46	3.870797e-02
R47	9.871179e-01
R48	6.104828e-07
R49	1.510039e-10
R50	6.674690e+00
R51	1.549570e-10
R52	4.936384e-10
R53	4.109460e-05
R54	1.146531e-11
R55	4.492133e-04
R56	1.466870e-06
R57	9.231786e-21
R59	1.728046e-01
R60	7.247246e+01
R61	7.158412e+00
R62	3.132146e-13
R63	3.973082e-07
R64	1.539924e-01
R65	2.919229e-07
R66	1.392152e+00
R67	6.848680e+02
R68	1.107397e+03
R69	5.509024e-04
R70	2.922056e+04
R71	1.948037e+05
R72	9.241396e-10
R73	2.659981e-04
R74	5.032923e-12
R75	4.895530e-04
R76	2.334371e-03
R77	2.334371e-02
R78	1.060715e-04
R79	2.546617e+02
R80	1.418500e-01
R81	4.903732e+07
R82	8.126057e-04
R83	3.563555e-02
R84	8.547206e+00
R85	2.632488e-01
R86	1.606264e-01
R87	1.021694e-13
R88	0.000000e+00
R89	0.000000e+00
R90	0.000000e+00
R91	1.812861e+01
R93	6.451570e-07
R94	2.385173e-09
R95	1.921827e-09
R96	3.776327e+00
R97	3.446807e-17
R98	2.695779e-08
R99	7.486484e-04
R100	4.733284e-11
R101	1.109712e-03
R102	0.000000e+00
R103	0.000000e+00
R104	0.000000e+00
R105	0.000000e+00
R106	0.000000e+00
R107	0.000000e+00
R108	5.342652e-03
R109	2.670882e-02
R110	2.654315e+00
R111	1.029039e+02
R112	1.133897e+01
R113	7.474396e+04
R114	1.494879e+05
R115	1.062995e-03
R116	7.316839e-07
R117	1.458213e-08
R118	3.521234e+08
R119	3.761135e-11
R120	2.267406e-84
R121	1.313832e-65
R122	1.030390e-38
R123	5.051479e+07
R124	8.414692e-25
R125	6.338186e-36
R126	4.446028e-54
R127	5.206729e+03
R128	8.715102e-32
R129	2.506151e-18
R130	1.226856e+04
R131	5.383230e+03
R132	5.909265e+02
R133	7.509774e+05
R134	4.096241e+05
