Total_Molecules: 84
Total_Reactions: 734
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 4.53e+12

  P6	H2O			= H	+ OH		1.862255e+12
  R512	OH	+ H2		= H2O	+ H		1.766155e+12
  M89	OH	+ CO		= CO2	+ H		5.719475e+11
  R445	O	+ OH		= O2	+ H		2.578365e+11
  P20	CH2O			= CHO	+ H		5.815429e+10
  R427	O	+ CHO		= CO2	+ H		7.280123e+09
  R433	O	+ H2		= H	+ OH		4.420167e+09
  R415	O	+ CH3		= CH2O	+ H		7.100944e+08
  R416	O	+ CH3		= CO	+ H2	+ H	2.901243e+08
  R597	CH21	+ H2		= CH3	+ H		2.720374e+08
  P32	CH4			= CH3	+ H		2.397359e+08
  P40	CH4O			= CH3O	+ H		5.371031e+07
  P34	CH4			= CH	+ H2	+ H	3.508331e+07
  R455	O(1D)	+ H2		= H	+ OH		2.443918e+07
  R408	O	+ CH		= CO	+ H		9.122704e+06
  P73	H2O			= H	+ H	+ O	7.504510e+06 (x2)
  R411	O	+ CH2		= CO	+ H	+ H	5.091818e+06 (x2)
  R33	CH	+ CH4		= C2H4	+ H		2.010705e+06
  R202	H2	+ CH		= CH2	+ H		1.494420e+06
  R396	O	+ C2H4		= C2H3O	+ H		3.459331e+05
  R203	H2	+ CH3		= CH4	+ H		1.095730e+05
  R403	O	+ C2H5		= C2H4O	+ H		4.428469e+04
  P59	C2H4			= C2H2	+ H	+ H	1.252379e+04 (x2)
  P56	C2H2			= C2H	+ H		8.927982e+03
  R449	O(1D)	+ CH4		= CH3O	+ H		7.911052e+03
  R195	H2	+ C2H		= C2H2	+ H		7.729363e+03
  P60	C2H4			= C2H3	+ H		2.504759e+03
  P71	HNO			= NO	+ H		1.027173e+03
  R395	O	+ C2H3		= C2H2O	+ H		8.390247e+02
  T47	CH3O			= CH2O	+ H		8.221118e+02
  R492	OH	+ CH2		= CH2O	+ H		8.214418e+02
  P57	C2H3			= C2H2	+ H		2.239157e+02
  T38	C2H5O			= C2H4O	+ H		6.859845e+01
  P63	C2H6			= C2H4	+ H	+ H	6.855500e+01 (x2)
  R390	O	+ C2H2		= H	+ C2HO		6.523004e+01
  R295	N	+ OH		= NO	+ H		3.856693e+01
  R206	H2	+ CHO		= CH2O	+ H		1.582315e+01
  R204	H2	+ CH3O		= CH4O	+ H		1.073057e+01
  R304	NH	+ O		= NO	+ H		4.970464e+00
  R44	CH2	+ CH3		= C2H4	+ H		3.027952e+00
  R322	NH2	+ O		= H	+ HNO		6.740888e-01
  R198	H2	+ C2H5		= C2H6	+ H		3.652985e-01
  T18	CH3O2			= CH2O2	+ H		2.863809e-01
  R452	O(1D)	+ CH4O		= CH3O2	+ H		1.346561e-01
  P42	NH3			= NH2	+ H		1.016135e-01
  P41	HCN			= H	+ CN		3.217231e-02
  P28	CH2O2			= CHO2	+ H		2.970983e-02
  R370	NO2	+ CHO		= NO	+ CO2	+ H	2.893331e-02
  R308	NH	+ OH		= H	+ HNO		1.170160e-02
  R339	NO	+ CH		= H	+ CNO		1.338496e-03
  R281	N	+ CH		= CN	+ H		5.764444e-04
  R435	O	+ HCN		= H	+ CNO		4.930520e-04
  R207	H2	+ CN		= HCN	+ H		1.998739e-04
  R506	OH	+ CN		= H	+ CNO		2.957870e-05
  R212	H2	+ NH2		= NH3	+ H		1.674318e-05
  R495	OH	+ CH3		= CH3O	+ H		4.257312e-06
  R197	H2	+ C2H3		= C2H4	+ H		1.893065e-07
  R277	N	+ C2H3		= C2H2N	+ H		6.028803e-08
  R301	NH	+ NO		= N2O	+ H		4.245631e-08
  R327	NH3	+ CH		= HCN	+ H2	+ H	2.797026e-08
  R209	H2	+ HO2		= H2O2	+ H		3.762435e-09
  T27	C2H5			= C2H4	+ H		1.135389e-10
  R289	N	+ NH		= N2	+ H		8.814128e-11
  P70	C2H5N			= HCN	+ CH3	+ H	1.019578e-11
  R479	OH	+ C2H2		= C2H2O	+ H		4.860672e-14
  P68	N2H4			= N2H3	+ H		4.108941e-15
  R3	C	+ H2		= CH	+ H		5.225791e-16
  R528	OH	+ SO		= SO2	+ H		4.125027e-16
  R266	HS	+ O		= H	+ SO		7.983472e-17
  R527	OH	+ S		= H	+ SO		6.689712e-17
  R213	H2	+ NO2		= H	+ HNO2		1.354746e-17
  T43	HSO2			= SO2	+ H		1.305020e-17
  R205	H2	+ CH3O2		= CH4O2	+ H		1.664613e-19
  T2	HO2			= O2	+ H		1.042504e-19
  P45	H2S			= HS	+ H		5.690204e-20
  T8	HNO			= H	+ NO		4.585563e-20
  T19	CH4O			= CH3O	+ H		5.652258e-25
  T49	CHO2			= CO2	+ H		2.359931e-25
  T25	C2H3			= C2H2	+ H		1.168338e-27
  R546	SO2	+ C2H		= CO	+ OCS	+ H	5.403189e-32
  R10	H2	+ C2H4		= C2H5	+ H		4.612336e-42
  R533	S	+ HS		= H	+ S2		2.609426e-43
  R41	H2	+ C2H2		= C2H3	+ H		8.604233e-47
  T28	C2H6			= C2H5	+ H		2.649498e-48
  T42	HSO			= SO	+ H		1.729503e-65
  T57	HCN			= H	+ CN		5.652939e-72
  T59	H2S			= HS	+ H		6.424234e-73
  T46	CHO			= CO	+ H		2.423718e-141
  P38	H2			= H	+ H		0.000000e+00 (x2)

H				LOSS RXS		INT RX RATE	TL = 4.53e+12

  M12	H	+ CO		= CHO			1.494643e+12
  R162	H	+ CHO		= CO	+ H2		1.414088e+12
  M17	H	+ O2		= HO2			5.153334e+11
  M10	H	+ CHO		= CH2O			2.795560e+11
  R180	H	+ HO2		= OH	+ OH		2.050210e+11
  R148	H	+ CH2O		= H2	+ CHO		1.470755e+11
  M16	H	+ O		= OH			1.403887e+11
  M13	H	+ H		= H2			1.034189e+11 (x2)
  M18	H	+ OH		= H2O			5.112363e+10
  M57	H	+ CH3		= CH4			2.583066e+10
  R182	H	+ HO2		= H2	+ O2		1.964785e+10
  R192	H	+ O3		= OH	+ O2		1.188677e+10
  R157	H	+ CH4		= CH3	+ H2		6.196978e+09
  R181	H	+ HO2		= O	+ H2O		4.556022e+09
  R152	H	+ CH3O		= CH4O			1.458955e+09
  M88	H	+ CH2O		= CH3O			1.028674e+09
  R159	H	+ CH4O		= CH3O	+ H2		9.111402e+08
  R153	H	+ CH3O		= CH3	+ OH		8.105575e+08
  R154	H	+ CH3O		= CH2O	+ H2		5.065984e+07
  R146	H	+ CH2		= CH	+ H2		5.814832e+06
  R166	H	+ H2O		= H2	+ OH		5.270348e+06
  R167	H	+ H2O2		= OH	+ H2O		2.142467e+06
  R138	H	+ C2H4O		= CH4	+ CHO		1.901134e+06
  R133	H	+ C2H3O		= CHO	+ CH3		1.604808e+06
  R137	H	+ C2H4O		= C2H3O	+ H2		1.168846e+06
  R134	H	+ C2H3O		= C2H2O	+ H2		8.753498e+05
  R145	H	+ CH		= C	+ H2		8.125038e+05
  R168	H	+ H2O2		= H2	+ HO2		2.392229e+05
  R142	H	+ C2H5O		= C2H4O	+ H2		2.298411e+05
  M9	H	+ C2H4		= C2H5			1.293699e+05
  R130	H	+ C2H2O		= CO	+ CH3		1.062230e+05
  R140	H	+ C2H5		= CH3	+ CH3		7.910842e+04
  M58	H	+ C2H5		= C2H6			6.580819e+04
  R143	H	+ C2H6		= C2H5	+ H2		4.139344e+04
