# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R1	9.602367e-48
R2	5.343457e-42
R3	1.119294e-10
R4	1.816774e-26
R5	8.129868e-31
R6	4.454302e+07
R7	2.185222e-27
R8	7.192594e-19
R9	1.078701e-10
R10	1.178572e-44
R11	5.275861e-08
R12	1.433082e-03
R13	3.717911e-11
R14	2.901955e-02
R15	7.182363e-32
R16	5.983055e-04
R17	1.737084e-05
R18	3.415347e-11
R19	8.338312e-25
R20	6.630604e-06
R21	1.495003e-06
R22	8.154562e-07
R23	8.661909e-11
R24	1.193724e-13
R25	1.509306e-11
R26	1.614416e+01
R27	2.116586e-18
R28	3.589908e-16
R29	1.567023e-05
R30	1.118243e+02
R31	2.138402e-01
R32	3.634204e+04
R33	1.285648e+06
R34	2.843751e-06
R35	5.590828e+00
R36	4.017317e-06
R37	1.047324e-03
R38	1.050080e-03
R39	1.327778e-09
R40	8.617600e-15
R41	4.067126e-49
R44	2.295074e+01
R45	5.478960e-03
R46	2.739480e-04
R47	3.412048e-08
R48	3.015494e-06
R49	2.329903e-11
R50	9.241168e-01
R51	2.775450e-11
R52	2.043478e-08
R53	6.666042e-05
R54	9.375355e-18
R55	2.855645e-03
R56	1.420380e-06
R57	1.738169e-20
R59	3.885312e-02
R60	4.249378e+00
R61	4.045704e-01
R62	5.779686e-13
R63	1.408835e-04
R64	1.918609e-01
R65	3.588398e-06
R66	3.610743e+01
R67	6.388587e+02
R68	1.111667e-04
R69	1.418710e-02
R70	8.688448e+05
R71	5.792299e+06
R72	7.327802e-10
R73	6.023377e-06
R74	4.166016e-13
R75	4.581316e-06
R76	3.434290e-04
R77	3.434290e-03
R78	3.494395e-04
R79	1.809496e+03
R80	6.027006e-10
R81	8.006257e+05
R82	3.652241e-11
R83	9.606304e-09
R84	1.751754e-06
R85	5.982198e-15
R86	3.650155e-15
R87	5.629148e-20
R88	0.000000e+00
R89	0.000000e+00
R90	0.000000e+00
R91	1.524516e+01
R93	3.618430e-07
R94	5.098414e-08
R95	6.419673e-07
R96	3.392043e+02
R97	6.744439e-21
R98	3.714897e-06
R99	1.808658e-02
R100	3.533178e-10
R101	4.983617e-03
R102	0.000000e+00
R103	0.000000e+00
R104	0.000000e+00
R105	0.000000e+00
R106	0.000000e+00
R107	0.000000e+00
R108	7.525571e-04
R109	3.556945e-03
R110	4.986953e+01
R111	4.376061e+04
R112	2.232766e+01
R113	7.685212e+05
R114	1.537043e+06
R115	1.143387e-02
R116	2.121629e-06
R117	6.621431e-09
R118	7.536347e+07
R119	3.969372e-10
R120	1.037417e-83
R121	2.846780e-65
R122	3.718812e-37
R123	2.980975e+06
R124	9.066100e-28
R125	1.543220e-26
R126	9.348147e-36
R127	8.421365e+03
R128	3.403395e-32
R129	7.028035e-19
R130	3.133798e+04
R131	1.030152e+04
R132	1.131096e+03
R133	3.340185e+05
R134	1.821920e+05
R135	8.720130e-08
R136	9.414627e+02
R137	2.710586e+05
R138	4.408783e+05
R140	8.931003e+05
R141	4.465501e+04
R142	1.883709e+05
R143	4.599821e+03
R145	8.510157e+06
R146	1.014503e+08
R148	1.325472e+11
R149	1.037700e-03
R150	5.136634e-03
R152	9.529769e+08
R153	5.309657e+08
R154	3.318536e+07
R155	5.997566e+01
R156	1.187777e-20
R157	2.161980e+09
R159	5.656801e+08
R160	7.052155e-06
R161	8.509214e-06
R162	1.383823e+12
R163	1.928032e-02
R164	1.857064e-10
R165	3.032427e-01
R166	3.946837e+05
R167	3.479316e+05
R168	3.640745e+04
R169	5.805688e-15
R171	8.372758e-02
R172	2.613219e+04
R173	2.171636e-08
R174	1.096848e-17
R175	2.446581e-02
R176	3.245848e-04
R177	1.086282e-02
R178	3.166040e-10
R179	7.004477e-17
R180	1.003748e+11
R181	2.230551e+09
R182	9.619252e+09
R183	9.336618e-20
R186	8.683467e-08
R187	2.901603e-49
R188	1.915170e-33
R189	2.272710e+03
R190	1.678950e+00
R192	7.095216e+08
R195	8.201261e+03
R196	2.240744e-29
R197	3.286893e-07
R198	1.027486e-01
R199	1.796620e+05
R200	2.155944e+05
R201	2.787646e-07
R202	8.528038e+06
R203	8.765317e+04
R204	1.780796e+01
R205	4.194427e-22
R206	2.290389e+01
R207	5.539711e-02
R209	5.481227e-11
R212	2.676640e-03
R213	1.532587e-18
R214	3.353208e-38
R215	5.951936e-02
R216	4.318750e-24
R217	6.463967e-09
R218	8.942913e+06
R219	2.730503e-09
R220	1.330279e-07
R221	2.870103e-05
R222	1.277980e-11
R223	6.397961e-05
R224	6.653835e+01
R225	2.431094e-05
R226	4.621273e-18
R227	3.109442e-04
R228	1.302016e-26
R229	1.991492e-26
R230	2.006911e-12
R231	1.240848e-18
R232	4.227727e-16
R233	3.138506e-22
R235	1.274438e-01
R236	1.261158e-01
R237	1.197981e-01
R238	8.536082e-13
R239	3.330877e-15
R242	9.418283e-13
R243	7.657736e-16
R244	4.285655e-17
R245	8.995146e-10
R246	8.720993e-02
R247	2.942277e+01
R248	4.696448e-10
R250	2.256306e-01
R251	2.256306e-01
R252	1.741121e-06
R254	4.965135e-04
R255	5.547890e-09
R257	2.226564e+05
R258	2.190057e-04
R259	8.254587e+01
R260	1.283032e-06
R261	9.782742e-01
R263	7.027220e-19
R264	2.754071e-35
R265	4.334473e-24
R266	1.085587e-13
R267	2.050375e-13
R268	1.408427e-23
R269	7.604863e-22
R270	1.073866e-25
R271	1.007708e-23
R272	1.862457e-12
R273	8.985088e-15
R274	5.915104e-17
R275	2.926699e-18
R276	2.324406e-39
R277	8.401731e-08
R278	1.626142e-08
R279	9.779519e-06
R281	1.006856e-03
R282	1.039471e-01
R283	7.556656e-08
R284	7.665127e-10
R287	8.778668e-27
R288	4.781825e-57
R289	3.795486e-09
R291	4.362777e-04
R292	3.977038e-08
R293	1.231349e-04
R294	1.190731e-05
R295	8.168508e+01
R296	4.575152e-02
R297	3.988010e-01
R298	4.613129e-09
R300	3.455258e-32
R301	1.003541e-06
R302	1.769027e-09
R303	1.179351e-09
R304	3.884510e+01
R305	3.884510e+00
R306	4.392772e-04
R307	6.587410e-11
R308	1.017415e-01
R309	5.189706e-03
R310	1.165244e-31
R311	3.457118e-15
R312	2.732437e-13
R313	1.345101e-11
R314	1.985492e-21
R315	8.415920e-14
R316	3.724822e-14
R317	1.244592e-09
R319	9.916164e-07
R320	1.580514e-07
R321	9.962890e-11
R322	1.507256e+00
R323	2.340584e-01
R324	1.674728e-01
R325	1.167065e-09
R326	1.736873e-05
R327	7.879267e-07
R328	5.773791e-14
R329	2.442980e-14
R330	1.106339e-20
R331	8.015396e-03
R332	1.491682e-02
R333	1.774970e-06
R334	1.895634e-06
R335	1.714509e-04
R336	8.375456e-02
R337	2.704820e-02
R338	2.408722e-03
R339	7.244277e-03
R340	4.527673e-02
R341	2.481165e-02
R342	2.535497e-02
R346	7.154796e-02
R347	1.054726e-08
R348	4.909110e+02
R350	5.156691e-12
R351	5.797003e-12
R352	3.045233e-12
R353	1.027376e-08
R354	4.823504e-05
R355	2.465473e-07
R356	1.389412e-10
R357	1.117833e-10
R358	9.098739e-08
R359	5.997272e-09
R360	5.387929e-07
R361	8.092980e-07
R362	4.765687e-07
R363	1.934327e-07
R364	1.971269e-04
R365	4.710111e-05
R366	2.754435e-09
R367	1.628880e-27
R368	8.446494e-02
R369	1.246715e-01
R370	4.154597e-03
R371	2.765671e-13
R372	1.711343e-14
R373	1.251615e-14
R374	1.254790e-16
R375	9.946508e-18
R376	5.693352e-18
R377	9.846017e-13
R378	4.051811e-12
R379	1.312655e-14
R380	1.853354e-12
R381	1.110213e-07
R382	1.020996e-10
R383	8.508299e-11
R384	6.761715e-19
R385	3.713118e-11
R387	1.012907e-22
R389	3.952739e+01
R390	2.116421e+01
R391	7.447300e+03
R392	8.401731e-08
R393	3.171345e+02
R394	3.171345e+02
R395	3.042597e+02
R396	2.915395e+04
R397	4.048609e+00
R398	6.708506e+04
R399	4.164850e+03
R400	3.957834e+04
R401	6.880553e+03
R402	9.229085e+04
R403	6.462424e+04
R404	9.229085e+03
R405	1.297344e+04
R406	1.522118e+01
R407	9.792030e-01
R408	2.254121e+06
R409	7.211498e+04
R411	1.201916e+06
R412	7.311658e+05
R413	1.262997e+08
R414	1.557474e+05
R415	5.672505e+08
R416	2.317623e+08
R417	4.340773e-08
R418	4.344056e-11
R419	3.487960e+05
R420	1.245700e+05
R421	2.989748e-12
R422	1.152646e+00
R423	1.356351e+06
R424	6.588288e+05
R425	2.593609e-08
R426	2.145181e+09
R427	2.145181e+09
R428	2.455083e+10
R429	8.312475e-31
R430	1.405139e-01
R431	9.894035e-04
R432	2.644783e-11
R433	2.176657e+09
R434	2.881369e+02
R435	3.688064e-05
R436	1.580599e-05
R437	6.455605e-12
R438	8.740670e-09
R439	4.072499e+03
R440	1.253076e-10
R441	1.631649e+10
R443	1.490944e-02
R444	2.807672e+04
R445	1.152640e+11
R446	1.202748e-27
R447	1.035277e-02
R448	7.731265e-01
R449	1.052284e+04
R450	3.963604e+04
R451	2.630711e+03
R452	6.157189e+00
R453	2.873355e+01
R454	2.626280e+07
R455	9.612354e+07
R456	4.903974e+04
R457	6.644604e-07
R458	7.769625e+10
R459	4.076690e-04
R460	6.383586e-04
R461	1.614470e-09
R462	3.162552e-05
R463	3.099310e-09
R464	1.219097e+05
R465	1.314326e+00
R466	1.314326e+00
R467	8.275432e-30
R468	6.619356e-09
R469	6.506097e-05
R470	3.393245e+01
R471	8.381109e-04
R472	1.098534e-13
R473	7.617128e-28
R474	1.324707e-26
R475	9.962514e-27
R477	1.969892e+00
R478	1.969892e+00
R479	9.245417e-14
R480	1.151697e-12
R481	5.440397e+03
R482	6.715247e+00
R483	1.538447e+05
R485	4.465811e+00
R486	4.465811e+00
R487	4.538122e+02
R488	4.295733e-03
R489	2.005568e+05
R490	9.372350e+02
R491	1.660708e+04
R492	3.130182e+03
R493	3.481868e+09
R494	7.670359e-04
R495	4.910883e-08
R496	1.087414e+04
R498	6.861801e-11
R499	6.181607e+03
R500	8.347126e-02
R501	2.809879e+09
R502	9.995170e+07
R503	3.186169e-04
R504	9.364317e+07
R505	5.459008e+09
R506	1.296172e-02
R507	6.588358e-06
R509	5.498535e-10
R512	1.840214e+12
R513	3.603753e+05
R515	2.969462e-11
R516	8.256722e-08
R517	2.840468e-05
R519	4.595285e+00
R520	4.613942e-01
R521	1.878927e-05
R522	3.651828e+08
R523	3.350930e-03
R524	1.373561e-04
R525	1.228143e+02
R526	1.447432e+08
R527	2.733461e-12
R528	1.283771e-13
R533	1.229492e-32
R534	3.690866e-48
R535	3.377459e-21
R536	9.603300e-14
R537	5.355333e-18
R538	2.529093e-51
R540	8.887240e-32
R541	3.290671e-23
R542	2.519957e-43
R543	4.660296e-14
R544	2.948537e-19
R545	1.346702e-20
R546	2.410358e-23
R547	4.273658e-18
R548	2.432161e-20
R549	2.730176e-26
R551	3.043062e-26
R552	2.667653e-48
R553	5.551611e-32
R554	2.587741e-17
R555	3.435278e-50
R556	3.911627e-49
R557	1.463254e-42
R558	2.452656e-20
R559	2.296175e-38
R560	4.662943e-11
R561	3.006686e+08
R562	2.008963e-24
R563	3.007669e-45
R564	3.078596e-46
R565	2.043744e-15
R566	6.110379e-19
R567	1.682884e-15
R568	3.548295e-18
R569	3.966286e-11
R570	1.217267e-15
R571	1.217267e-15
R572	4.537678e-12
R573	4.300973e-21
R574	6.043436e-16
R575	7.069237e-12
R576	6.283766e-13
R577	5.255187e-38
R578	1.300093e-14
R579	9.634965e-35
R596	9.631887e+07
R597	7.063384e+08
R598	4.215925e+04
R599	2.072830e+05
R608	3.403394e-32
R611	6.244666e-52
R617	2.331484e-09
R618	5.149476e-06
R639	5.371346e-14
R640	4.075005e-04
R641	4.157804e-13
R642	1.447429e-37
R643	3.809023e-38
R644	1.181247e-05
R645	6.639729e+08
M2	1.597325e+06
M3	3.695366e+04
M4	5.226036e+06
M5	3.897950e+05
M6	8.449867e+03
M7	1.066121e+04
M9	1.107165e+06
M10	2.858616e+11
M11	2.053563e-03
M12	1.463145e+12
M13	2.282194e+11
M14	5.968810e+00
M15	3.167285e+04
M16	1.111841e+11
M17	1.283620e+11
M18	3.984253e+10
M19	3.256808e+03
M20	5.918942e-04
M21	1.057116e-19
M22	1.594939e-07
M23	4.253832e+01
M24	1.841355e+00
M25	9.499529e-11
M26	1.185768e+00
M27	5.080668e-01
M28	4.164018e-06
M29	1.692246e-13
M31	5.933945e+07
M32	2.334828e+03
M33	3.047087e+00
M34	6.139062e+09
M35	1.247400e+09
M36	9.895227e+02
M37	1.666114e+03
M38	9.515827e+04
M39	3.163406e+10
M40	4.940163e-12
M41	1.914172e-03
M42	1.712616e+02
M43	8.149311e-02
M44	6.804784e+06
M45	3.146158e-33
M46	1.361049e-13
M47	2.443466e-14
M48	1.257474e-13
M49	3.402087e-16
M50	1.745576e-15
M51	7.669376e-12
M52	1.796846e-47
M53	1.854224e-50
M54	7.101672e-64
M55	5.116791e-115
M56	1.047125e+05
M57	6.186356e+09
M58	7.892765e+03
M73	1.624695e+08
M85	4.157804e-13
M86	2.107382e-05
M88	7.417212e+08
M89	2.044082e+11
M90	4.794696e+01
P1	3.090356e+09
P2	1.546203e+10
P3	7.354733e+07
P4	4.643030e+08
P5	1.958461e+08
P6	1.885174e+12
P7	6.284894e+06
P8	9.678232e+01
P9	1.638194e-01
P10	1.191302e+00
P11	9.890769e+02
P12	4.600989e-14
P13	1.232147e-13
P14	1.707731e+02
P15	6.122344e-02
P16	1.068424e-02
P17	7.670735e-03
P18	4.550376e-04
P19	1.180672e-04
P20	7.545340e+10
P21	6.475544e+10
P22	1.406898e+05
P23	1.561788e+04
P24	1.640617e-04
P25	5.033157e-01
P26	4.163886e-06
P27	2.801324e-03
P28	6.002838e-04
P29	6.002838e-04
P30	3.486268e-16
