# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R1	3.559749e-55
R2	8.617486e-50
R3	2.983165e-13
R4	4.991712e-16
R5	3.193805e-39
R6	2.285310e+10
R7	1.415372e-18
R8	3.131435e+01
R9	1.549737e-27
R10	3.401461e-45
R11	1.450757e-26
R12	7.904910e-18
R13	1.784630e-23
R14	4.173673e-16
R15	7.913358e-36
R16	8.707607e-11
R17	2.801126e-22
R18	1.126017e-24
R19	8.363407e-31
R20	1.391165e-19
R21	3.582936e-22
R22	1.954329e-22
R23	1.157630e-22
R24	1.034116e-25
R25	1.307503e-23
R26	1.559399e-02
R27	6.999821e-25
R28	1.043669e-19
R29	8.421905e-21
R30	5.425885e-08
R31	1.025688e-05
R32	5.111189e+00
R33	1.757453e+03
R34	6.853171e-18
R35	6.244604e-03
R36	3.758771e-16
R37	1.799162e-07
R38	8.049208e-16
R39	1.968563e-19
R40	5.236345e-24
R41	3.858612e-45
R44	5.907253e-06
R45	2.019716e-08
R46	1.009858e-09
R47	9.249769e-16
R48	7.185497e-11
R49	7.441996e-19
R50	3.587828e-06
R51	2.699644e-18
R52	4.790873e-13
R53	1.915858e-12
R54	1.675680e-14
R55	4.041726e-12
R56	1.929906e-10
R57	1.072941e-27
R59	2.555362e-14
R60	3.390998e-05
R61	3.380873e-06
R62	3.113433e-21
R63	5.564397e-13
R64	1.194558e-11
R65	1.283796e-14
R66	6.080267e-05
R67	4.583933e-04
R68	2.325713e-06
R69	3.159106e-14
R70	1.464777e+01
R71	9.765179e+01
R72	2.057378e-18
R73	2.375321e-18
R74	3.140534e-23
R75	1.100794e-16
R76	2.314892e-13
R77	2.314892e-12
R78	4.272308e-14
R79	9.719763e-04
R80	2.747103e-10
R81	3.445162e+07
R82	3.454167e-20
R83	3.145970e-14
R84	2.875101e-07
R85	2.289840e-12
R86	1.397190e-12
R87	1.122688e-20
R88	0.000000e+00
R89	0.000000e+00
R90	0.000000e+00
R91	2.276751e-07
R93	7.874293e-10
R94	1.002518e-10
R95	1.612760e-11
R96	9.287802e-05
R97	4.936630e-12
R98	4.239826e-09
R99	2.973317e-11
R100	6.279737e-12
R101	7.305250e-16
R102	0.000000e+00
R103	0.000000e+00
R104	0.000000e+00
R105	0.000000e+00
R106	0.000000e+00
R107	0.000000e+00
R108	7.962079e-16
R109	3.200742e-13
R110	2.420382e-03
R111	1.124679e-02
R112	3.253211e-07
R113	5.577248e-01
R114	1.115450e+00
R115	6.076377e-15
R116	2.706603e-16
R117	1.031091e-13
