# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R1	2.207473e-59
R2	4.707092e-52
R3	2.786968e-22
R4	0.000000e+00
R5	2.152966e-32
R6	1.866797e+07
R7	7.878864e-41
R8	3.447594e-24
R9	2.948890e-22
R10	1.021280e-41
R11	1.634603e-16
R12	3.086786e-11
R13	8.946355e-11
R14	7.650846e-09
R15	9.043770e-27
R16	3.796875e-08
R17	1.791551e-19
R18	5.852735e-13
R19	7.246658e-20
R20	7.753015e-18
R21	3.537241e-09
R22	1.929404e-09
R23	8.949028e-10
R24	4.359787e-18
R25	5.512374e-16
R26	4.098169e+03
R27	1.393431e-16
R28	6.074635e-16
R29	6.662499e-16
R30	6.621786e-08
R31	9.846572e-10
R32	2.869665e-04
R33	1.611312e-02
R34	2.178405e-18
R35	4.818896e-07
R36	1.192607e-14
R37	6.431432e-09
R38	4.776403e-09
R39	5.130850e-12
R40	8.464486e-17
R41	7.965294e-46
R44	1.116982e-04
R45	3.555984e-06
R46	1.777992e-07
R47	5.235691e-05
R48	1.136222e-07
R49	2.255906e-12
R50	3.967074e-04
R51	1.537759e-10
R52	6.419855e-09
R53	1.828665e-04
R54	8.038850e-04
R55	3.016742e-12
R56	7.320654e-11
R57	2.349755e-18
R59	2.694650e-05
R60	9.082304e+00
R61	6.088136e-01
R62	5.110012e-10
R63	5.592749e-05
R64	3.364445e-01
R65	2.009905e-06
R66	5.588145e+00
R67	3.402900e+03
R68	9.526213e+04
R69	3.092753e-03
R70	3.744516e+05
R71	2.496344e+06
R72	9.024510e-15
R73	6.272199e-13
R74	1.482033e-12
R75	1.130858e-06
R76	4.241949e-02
R77	4.241949e-01
R78	6.256472e-05
R79	1.104907e+02
R80	7.556413e+01
R81	7.851804e+08
R82	5.989772e-05
R83	2.085177e+01
R84	5.202540e+02
R85	2.736121e+03
R86	1.669497e+03
R87	5.463939e-05
R88	0.000000e+00
R89	0.000000e+00
R90	0.000000e+00
R91	7.706566e-06
R93	5.018252e-07
R94	4.209304e-08
R95	1.045101e-07
R96	3.344653e+00
R97	1.171266e-06
R98	4.373823e-07
R99	2.649861e-11
R100	1.135729e-13
R101	2.939074e-12
R102	0.000000e+00
R103	0.000000e+00
R104	0.000000e+00
R105	0.000000e+00
R106	0.000000e+00
R107	0.000000e+00
R108	4.433408e-11
R109	1.794619e-04
R110	2.584616e+01
R111	7.343506e+02
R112	1.426995e+02
R113	1.343719e+05
R114	2.687437e+05
R115	2.676274e-03
R116	5.624666e-14
R117	5.521675e-12
R118	9.293588e+09
R119	3.862962e-22
R120	6.071246e-75
R121	7.859926e-58
R122	4.212996e-33
R123	1.263644e+06
R124	2.542846e-23
R125	7.878620e-41
R126	4.208833e-56
R127	4.143580e-06
R128	2.053281e-30
R129	5.974771e-16
R130	3.360821e+03
R131	2.559466e-01
R132	2.554128e-02
R133	3.970408e+04
R134	2.165677e+04
R135	1.110781e-05
R136	1.839877e+02
R137	3.457047e+04
R138	5.622907e+04
R140	5.512803e+04
R141	2.756401e+03
R142	7.476553e+03
R143	2.481320e+03
R145	1.365761e+01
R146	7.835797e+01
R148	2.391742e+10
R149	2.032207e-02
R150	3.855130e-04
R152	4.630210e+08
R153	2.562023e+08
R154	1.601264e+07
R155	4.970311e+08
R156	3.918545e-06
R157	8.898724e+07
R159	9.213490e+07
R160	1.150701e+05
R161	1.388450e+05
R162	3.329687e+11
R163	1.092845e-08
R164	8.774962e-14
R165	1.364511e+05
R166	2.867518e+08
R167	3.030946e+09
R168	3.689402e+08
R169	3.413414e-14
R171	7.182341e-06
R172	1.691364e+03
R173	1.335744e-07
R174	6.628309e-16
R175	1.078877e+00
R176	3.346147e-02
R177	3.500651e-01
R178	3.424244e-05
R179	5.620202e-10
R180	7.445990e+11
R181	1.654665e+10
R182	7.135742e+10
R183	1.293963e-11
R186	4.007109e-11
R187	7.972872e-44
R188	8.848869e-30
R189	4.000114e+02
R190	4.050555e-01
R192	1.000532e+11
R195	1.592184e-04
R196	3.694038e-27
R197	6.219170e-07
R198	8.826371e-03
R199	5.183093e-01
R200	6.219711e-01
R201	3.027025e-15
R202	5.146771e-03
R203	3.733769e+02
R204	6.686998e-02
R205	2.349390e-08
R206	1.560872e-01
R207	3.191776e-11
R209	5.271736e-05
R212	1.686756e-09
R213	7.798051e-17
R214	1.319000e-31
R215	4.920071e-03
R216	0.000000e+00
R217	9.831276e-06
R218	7.683749e+00
R219	5.059038e-09
R220	5.954602e-08
R221	1.106523e-03
R222	2.367351e-04
R223	1.580966e+01
R224	1.490194e+06
R225	7.405902e+01
R226	7.491126e+00
R227	5.946137e+01
R228	0.000000e+00
R229	0.000000e+00
R230	0.000000e+00
R231	0.000000e+00
R232	0.000000e+00
R233	6.487937e-28
R235	9.551052e-03
R236	4.153558e-03
R237	4.163117e-03
R238	1.218576e-21
R239	1.972748e-19
R242	3.727650e-21
R243	4.492616e-19
R244	4.708513e-13
R245	9.337585e-09
R246	1.367221e-01
R247	1.552252e+04
R248	2.683539e-05
R250	4.802242e+02
