CH3 + H + M => CH4 + M	736.9085391900431	980.4218635440076	1156.9773998930239	1302.7950907407162	1430.8420930787443	1544.1886117375107	1642.2846815617377	1731.7095115274633	1815.722813630787	1894.1771285606667	1963.3857834365026	2024.1039439285255	2073.8325731539458	2103.8478692448134	2109.1613605283296	2090.2360448015215	2049.028878103624	1957.9773835010758	1840.7901815200685	1717.7267963091851	1637.5111778871383	1689.2945031885436	1953.3891618144498	2078.659982894518	1141.1572859505675	311.42248759285707	72.8174646608522	18.23000655890151	6.146435019575042	2.68147724584898	1.330447526327815	0.7011625816784004	0.3848179773767555	0.2215181300377034	0.13438980717776064	0.08519552891941819	0.05567487115056475	0.03718925543858224	0.02545239561574248	0.017913919313915647	0.01286989579006092	0.00925510302884346	0.006496038418998077	0.004351060169347725	0.0027447628686767247	0.001628645289844627	0.0009178353073155073	0.0004997369257573635	0.0002678225807920964	0.00014389747175561294	7.873921069298859e-05	4.441118346096902e-05	2.6124800986430306e-05	1.6162712107757485e-05	1.0333312564529073e-05	6.425003414288029e-06	3.944440639406765e-06	2.4407088639082085e-06	1.571692601066672e-06	1.2379925603110019e-06	1.636659865131501e-06	3.230722604285001e-06	6.3751855386853685e-06	1.0775089970748228e-05	1.536451686778238e-05	1.8818082002676037e-05	2.0242925731594826e-05	1.9517354006611127e-05	1.71596152495977e-05	1.3957906249960062e-05	1.0633130112435069e-05	7.665505225154839e-06	5.276301781440263e-06	3.494421673178767e-06	2.241791576969779e-06	1.4013378966740223e-06	8.579213471840026e-07	5.16700308946397e-07	3.0730882479073674e-07	1.8108703259998565e-07	1.0603169658089034e-07	6.185389223906884e-08	3.603821141338882e-08	2.1022018285597305e-08	1.2306585475984238e-08	7.24741623733851e-09	4.303611650810999e-09	2.5828224441285446e-09	1.5701904220884784e-09	9.690437738326006e-10	6.082791010237684e-10	3.8895230224772145e-10	2.53614138714744e-10	1.6871974285009546e-10	1.145299396753814e-10	7.932557188427592e-11	5.616140862805175e-11	4.13289635340767e-11	3.4932179093042775e-11	4.3460645050381486e-11	
CH3 + HCO => CH4 + CO	103.4844644414073	141.73995920125466	182.93060469891938	226.33547919506688	269.8788278826935	310.82626100070485	345.17103174504246	369.67006462421057	380.491089419777	375.0446291796249	352.8329747131503	315.9824586348678	268.9446929430015	217.04321789194293	165.95016678114544	120.44099422608706	83.30199302829239	55.08062310318348	35.05089498670132	21.519411384340003	13.13420818174124	8.532075294149108	6.121763205009803	3.7948846310977977	1.0736292321368843	0.142710270662692	0.017063825308077905	0.0022962433649265494	0.0004722828655265729	0.00013791204214761465	4.773541754893453e-05	1.792722234262564e-05	7.126132152273255e-06	3.035130169890513e-06	1.4005610259831445e-06	6.943351693436686e-07	3.624561240606769e-07	1.9580221105581465e-07	1.0967133026955518e-07	6.431306446473526e-08	3.921871542497866e-08	2.4201440464553967e-08	1.4577660705034194e-08	8.320619249267445e-09	4.441618002810873e-09	2.227655617905873e-09	1.0694230414652757e-09	5.037459077409436e-10	2.3703968654689897e-10	1.1291555589584643e-10	5.498683944821328e-11	2.7671321605626205e-11	1.4663237645732007e-11	8.29265261023108e-12	4.851551600251035e-12	2.671888824117128e-12	1.442125017506918e-12	7.898943695139809e-13	4.536713879534627e-13	3.235725616887533e-13	4.0739127667667796e-13	8.971318086110099e-13	2.6500271292376682e-12	8.530479567339815e-12	2.4407923774766865e-11	5.64899269633698e-11	1.0494757492545747e-10	1.6025424429280796e-10	2.0727970776137235e-10	2.3368381681919656e-10	2.3543564839270693e-10	2.1650846048478016e-10	1.8497999274393565e-10	1.4901941187953233e-10	1.1460909414971722e-10	8.503824851041856e-11	6.141961298593652e-11	4.351029966690932e-11	3.042680460066529e-11	2.1118133705176133e-11	1.46148693227427e-11	1.0125288003191888e-11	7.047240658786753e-12	4.943113862998075e-12	3.5043667313967307e-12	2.5181832981689157e-12	1.8414635280554817e-12	1.3830062699048464e-12	1.0895861249766235e-12	9.308797374147887e-13	8.874708810326924e-13	9.51310236907462e-13	1.1332345045662793e-12	1.4532862415022882e-12	1.904689470900447e-12	2.4253729434640884e-12	2.919067470092272e-12	3.348644182509255e-12	4.058439518545995e-12	6.689536276781487e-12	
CH3 + H2 => CH4 + H	18.344756994528574	17.192889002151883	14.869144027995743	12.495601850975572	10.315412286199049	8.361067457472242	6.635667503620345	5.1465417006835015	3.894056062499234	2.865600695291655	2.040303960891637	1.405313829958499	0.9343431724054093	0.595574858369344	0.3629824545116839	0.2117683780581051	0.11872469417699505	0.0643459975954343	0.03383587866453679	0.017019036269711924	0.008428291744404971	0.004414629598089048	0.0026087371594358173	0.0015809723609317514	0.0006612660321600508	0.00013618715518243834	1.6204057553618575e-05	1.4475048314429984e-06	2.0341433151212468e-07	4.3611234317784535e-08	1.1015124617935079e-08	2.9302293241458706e-09	7.989019652994727e-10	2.3040530377253625e-10	7.306124460727092e-11	2.5557692740085334e-11	9.52917258125433e-12	3.6113236776747484e-12	1.3942284354955276e-12	5.716622465562496e-13	2.5207177781717327e-13	1.1546166706998903e-13	5.2175657958259695e-14	2.26175810878242e-14	9.553454484744944e-15	4.1289719695404406e-15	1.941733717059929e-15	1.0415626469832593e-15	6.326144195489842e-16	4.2026653097180367e-16	2.936926039054617e-16	2.1343409963700045e-16	1.6742332545793137e-16	1.4520859702689263e-16	1.2597414320168132e-16	8.58207994529582e-17	5.362424639464938e-17	3.3991940107628195e-17	2.2533209085661068e-17	1.8334321466704317e-17	2.509368610282557e-17	5.1344481817899937e-17	1.0507071047227418e-16	1.8418988088254508e-16	2.725118142738381e-16	3.4675358272688543e-16	3.885952883138367e-16	3.921050922647464e-16	3.6307718926243575e-16	3.134894732072389e-16	2.5575987802898124e-16	1.9933602342164787e-16	1.4976625967159326e-16	1.0928915620971747e-16	7.79474504854252e-17	5.4625137587266665e-17	3.7783966258246476e-17	2.5894664324794986e-17	1.764033714917105e-17	1.1977993265876076e-17	8.125491597237683e-18	5.517870022391908e-18	3.757597339052699e-18	2.5700686445602337e-18	1.768032949829886e-18	1.2249343606326091e-18	8.557322309246466e-19	6.03478196952446e-19	4.3009285285115885e-19	3.100990464796493e-19	2.264062863142734e-19	1.675082019325791e-19	1.2563348944540658e-19	9.552237964883855e-20	7.360756146256371e-20	5.747137468310664e-20	4.555063735462161e-20	3.728990648290865e-20	3.4960101205313255e-20	4.8904841634424064e-20	
CH3CHO + hv => CH4 + CO	2.6634611279486786	3.1328357208727775	3.7008642365020172	4.2857501919871	4.810028884997489	5.207734884952201	5.42450967468006	5.427525577098557	5.203455630794194	4.767045189859246	4.162416971640794	3.455046127309488	2.7206341674392838	2.028475052759227	1.429981577595937	0.9527801289073909	0.6004624659154436	0.3585714264628862	0.2036913879645897	0.11111590713394955	0.06017380471511538	0.03487399455754492	0.023120006554518024	0.016104063516533547	0.01018845200281859	0.006189287400211988	0.0038597834726768736	0.0025311718110913556	0.0017634705101616244	0.0012947858102614865	0.0009777958096744274	0.0007452073873353563	0.0005696323326078456	0.00043748559254134346	0.00033827720734372357	0.0002631319692131684	0.00020548622844642237	0.0001609418357152921	0.00012644141561977978	9.96163557815779e-05	7.852337499878862e-05	6.160690948739283e-05	4.77486601248537e-05	3.6262998559030825e-05	2.6787661920055374e-05	1.912212187494041e-05	1.310338354010999e-05	8.559582393220742e-06	5.307315735282047e-06	3.130375699085634e-06	1.774824245007784e-06	9.823509490751322e-07	5.397485423465316e-07	3.015034729657923e-07	1.7685560078009872e-07	1.1003497584575591e-07	7.160404910744297e-08	4.862409573943131e-08	3.434640251338776e-08	2.5080479383038246e-08	1.878698386966414e-08	1.4325246805108004e-08	1.1045305922245892e-08	8.566278288172798e-09	6.655964857445847e-09	5.165597571153633e-09	3.994682253627791e-09	3.0720716207127235e-09	2.345508152992544e-09	1.7754498695168156e-09	1.3311269424292536e-09	9.87928457972692e-10	7.257095976327989e-10	5.277537978955683e-10	3.8015910374311804e-10	2.71456100680842e-10	1.9232407379326916e-10	1.3533220307144734e-10	9.467777167393218e-11	6.592078080164585e-11	4.572715561578628e-11	3.1634497505958014e-11	2.1850117605666605e-11	1.5084886744642406e-11	1.0421580848915734e-11	7.213549924254097e-12	5.00895950858992e-12	3.493879612558664e-12	2.4522875999106323e-12	1.7363206251434988e-12	1.2454900009293269e-12	9.12161606571338e-13	6.911238973896032e-13	5.513877224198822e-13	4.698108907756837e-13	4.274005058432545e-13	4.0842504877141664e-13	4.005599028402105e-13	3.9272561600484037e-13	3.644151567419034e-13	
CH3 + HNO => CH4 + NO	0.956066597802654	1.111295721885781	1.3865442165517095	1.7758852750922252	2.2612848220194355	2.8119594323188752	3.374695371028913	3.8802916848277946	4.245082677782425	4.392919346030349	4.27415526024188	3.8806587214469546	3.260764411206004	2.5114428565275726	1.7566798650526283	1.1093948090661296	0.6332259417895388	0.33109131568471656	0.16082125949950854	0.07402443232211173	0.03470242840564869	0.01931986734866215	0.014998422149621845	0.013916633990788938	0.00750095855496186	0.0015227817120512352	0.00018492748710978788	1.9980223492027238e-05	3.0183455373498224e-06	6.674011084163955e-07	1.8569681313468582e-07	5.924461369992383e-08	2.1002763548379675e-08	8.281843492989978e-09	3.624509940123792e-09	1.7318632204526447e-09	8.850342258967482e-10	4.766197637229625e-10	2.700540097517893e-10	1.611253576214815e-10	9.987404695649599e-11	6.239195112285781e-11	3.779573297811989e-11	2.1452709095180717e-11	1.1172824517225005e-11	5.304703147171452e-12	2.3057638782826003e-12	9.293159572160654e-13	3.541699340151532e-13	1.3109212746140775e-13	4.829537823813283e-14	1.8051939412811436e-14	6.977148147001472e-15	2.8290277576809846e-15	1.184922393999652e-15	4.810665531506627e-16	1.9317585993189741e-16	7.847203625535775e-17	3.3309816418002944e-17	1.7384445634567434e-17	1.5324632315400237e-17	2.032372720455018e-17	2.718583057568095e-17	3.147931221357453e-17	3.114728282218704e-17	2.6879373001665028e-17	2.0742981598602452e-17	1.4645263367659772e-17	9.646727527054442e-18	6.0265902024267544e-18	3.620890995099381e-18	2.117026294131791e-18	1.2165310960427491e-18	6.9290312653868e-19	3.940519297570026e-19	2.2518712722121876e-19	1.299834654215028e-19	7.603154267863274e-20	4.510312357119066e-20	2.7096722494751366e-20	1.6442771398021493e-20	1.0050667203526686e-20	6.1763937513235564e-21	3.813360061574652e-21	2.3674221448972392e-21	1.4837063485155892e-21	1.0479106230880789e-21	3.2570779583889394e-21	3.4958292074828395e-20	2.807417795731399e-19	1.6450736854568522e-18	7.539074759416506e-18	2.7365451612499962e-17	7.912109502516696e-17	1.8842034156506232e-16	4.05548722601628e-16	9.738398858301088e-16	3.375409110445164e-15	1.807960297269276e-14	1.3814109945353602e-13	
H2O2 + CH3 => CH4 + HO2	3.547830612367286e-07	4.675693067794071e-07	6.938591797131792e-07	1.105768220663355e-06	1.826337529576097e-06	3.0802875824032e-06	5.280340482071289e-06	9.333129312290188e-06	1.6853760339537394e-05	3.092035132189094e-05	5.735619299137625e-05	0.00010587030673880151	0.0001952746542794458	0.0003589969380128853	0.0006556448513795415	0.001187354809231984	0.002132691293801711	0.003806308195605901	0.006791555523098557	0.01223726336195249	0.023101259817047238	0.0494203664433852	0.1293135979939823	0.3647228976871904	0.6536145251124104	0.432528202589352	0.1299412881451172	0.026423883377343756	0.005437641744874638	0.0012776112998435928	0.0003311989799391218	9.27961696438721e-05	2.8329091195160353e-05	9.642303201749398e-06	3.7059854666738424e-06	1.5957812432825605e-06	7.556033758398428e-07	3.866211509534302e-07	2.1103570964464148e-07	1.2089701496554318e-07	7.080912261982029e-08	4.09720983222526e-08	2.256482117030794e-08	1.1439473883711624e-08	5.221981899548525e-09	2.1340528491914237e-09	7.890049217232825e-10	2.698646864431985e-10	8.768495031062161e-11	2.7789604958099273e-11	8.784773189026034e-12	2.816887822770534e-12	9.298342802209249e-13	3.192188759387768e-13	1.1222101777390836e-13	3.81620592776284e-14	1.2854740454202532e-14	4.382334443814375e-15	1.557480488834586e-15	6.771340979226164e-16	4.936163614496092e-16	5.364350888038748e-16	5.817422605818009e-16	5.395537969436108e-16	4.2190872022083705e-16	2.8356977586054576e-16	1.6780801732195941e-16	8.940028273470258e-17	4.370945687099592e-17	1.993521360327135e-17	8.602102134297853e-18	3.556405670587729e-18	1.4257134023837982e-18	5.609802201027357e-19	2.1955163637386003e-19	8.678252860809494e-20	3.5249569148115865e-20	1.497492474123513e-20	6.746500927228546e-21	3.2396348768460742e-21	1.6486293924722221e-21	8.771855025749459e-22	4.804427295677363e-22	2.673808323691864e-22	1.4996962128811682e-22	8.456266020730472e-23	4.814576971625257e-23	2.806713720247708e-23	1.720910182905444e-23	1.1531815889778717e-23	8.754830215374423e-24	7.614841912599124e-24	7.427924979422347e-24	7.828262509828653e-24	8.616193543840885e-24	9.675699989616592e-24	1.0952310616259511e-23	1.2608372099925221e-23	1.6241727714474262e-23	2.965650387508036e-23	
CH3 + H2O => CH4 + OH	0.09267609220448576	0.07850396226947153	0.058992906871499884	0.0424419269210117	0.029705775396601006	0.020186918347106998	0.0132516017455846	0.008410055306010895	0.00515657402147294	0.003040579668212927	0.001707674859088494	0.0009142943520858991	0.0004648568701808327	0.0002213284958948413	9.812666544425845e-05	4.0582172630612854e-05	1.5721062997535964e-05	5.632830350972312e-06	1.868973376328336e-06	5.502410666243648e-07	1.44394147970192e-07	3.516934957154438e-08	8.031622930366198e-09	1.5008497564254498e-09	1.5202315389130318e-10	5.958149447848625e-12	1.0637087537776674e-13	1.1768023121153582e-15	3.210523771523393e-17	2.2181769872440313e-18	2.189222438986935e-19	2.3482542163796618e-20	2.5644568932220545e-21	3.078710869472155e-22	4.5078050561812784e-23	8.241709755154528e-24	1.744924400933187e-24	3.808830214823734e-25	8.60846866385099e-26	2.2469342244669427e-26	7.088022834495332e-27	2.5218224500431024e-27	9.060897690175503e-28	3.121515040451368e-28	1.0852841947880166e-28	4.161515387862437e-29	1.8741984198048718e-29	1.0605717847604792e-29	7.357377532642717e-30	5.834089632284035e-30	4.9037730557636074e-30	4.255645836284104e-30	4.033059494743556e-30	4.327110157027066e-30	4.498495431017853e-30	3.1451044838713384e-30	1.900746099538268e-30	1.1609789663839148e-30	7.386623931748852e-31	5.744652263850085e-31	7.482284680931385e-31	1.4500843308580498e-30	2.7963514184747966e-30	4.593453509602322e-30	6.328523957369075e-30	7.446772713470618e-30	7.659258748227482e-30	7.036138844405879e-30	5.882493065026579e-30	4.547873817431121e-30	3.2957665546288254e-30	2.264608432508783e-30	1.4899241845186787e-30	9.46472026909897e-31	5.847520073246708e-31	3.5359620030959373e-31	2.104444187768349e-31	1.238790872307542e-31	7.24396655081903e-32	4.2242228206051195e-32	2.4649531318490864e-32	1.443847220750121e-32	8.513887032845414e-33	5.067202631414122e-33	3.051265151992835e-33	1.862909229284672e-33	1.1553462551766725e-33	7.289884489965653e-34	4.685595997464135e-34	3.070819134709e-34	2.0532036560012673e-34	1.4006573724186196e-34	9.744322707366868e-35	6.906737347770418e-35	4.981126107752362e-35	3.650617423201428e-35	2.7215564369881326e-35	2.0994886088906e-35	1.8633468048943635e-35	2.5250242770577453e-35	
CH3 + H2CO => CH4 + HCO	0.0007799075438889005	0.0008624457539015006	0.0009340710821437363	0.0009883845310430161	0.0010129944349092888	0.0009985357841697877	0.0009399435563992788	0.0008473153183595335	0.0007272738240306258	0.0005905092522686494	0.00045087126300633203	0.00032219948786485735	0.00021550979096093045	0.00013456345029217495	7.860508431465634e-05	4.3270215754106866e-05	2.2663694351591797e-05	1.1369479834601701e-05	5.488303598447384e-06	2.515512850496821e-06	1.1119615428314308e-06	4.950474385915122e-07	2.2407551613712626e-07	8.60736570187266e-08	2.0044056293021448e-08	2.577713603915741e-09	2.3286516564117257e-10	1.931131835367492e-11	2.6707273421784984e-12	5.914087832348714e-13	1.6176818090584762e-13	4.774554211550954e-14	1.4580373299951708e-14	4.6996723655619085e-15	1.6456463155215724e-15	6.260144212283931e-16	2.513221074955167e-16	1.0266323576109704e-16	4.275304557027739e-17	1.87037864160067e-17	8.650810895167698e-18	4.101896964695029e-18	1.9064313427008125e-18	8.448748214419851e-19	3.593432146190193e-19	1.517955642040955e-19	6.675030767981787e-20	3.179465849281534e-20	1.6470059556858124e-20	9.156495494363685e-21	5.3789094858719076e-21	3.3467274145473866e-21	2.2829116108646485e-21	1.7442593776348192e-21	1.3757733567460841e-21	9.128192029098426e-22	5.690832612660641e-22	3.667506722781519e-22	2.6929208491653857e-22	3.1840483667499287e-22	9.786709429431125e-22	5.758173931377307e-21	3.3323433147631415e-20	1.4599379404148361e-19	4.679363581958957e-19	1.128100387977063e-18	2.129294141291535e-18	3.272560116501392e-18	4.2407572959671324e-18	4.773917019451433e-18	4.7875070208325606e-18	4.3679127128858185e-18	3.68947692168514e-18	2.9276030433620618e-18	2.2091307558293586e-18	1.6016611080265418e-18	1.1255186164838936e-18	7.722747747968712e-19	5.206220358624492e-19	3.46634888494242e-19	2.289564555330128e-19	1.506090642616242e-19	9.901183662976131e-20	6.52643049845635e-20	4.326827435473391e-20	2.893919367776448e-20	1.9585004381861394e-20	1.3451394228952215e-20	9.403635163399118e-21	6.7105476217547206e-21	4.9012363930150875e-21	3.6719812155766924e-21	2.826455563729772e-21	2.237408799051491e-21	1.8219861272956474e-21	1.5260762116006457e-21	1.3164151316376908e-21	1.187878013988665e-21	1.2365177178749569e-21	1.893343662081497e-21	
C2H6 + hv => CH4 + 1CH2	5.036132394269967e-130	4.629035168038909e-130	4.259430215722288e-130	3.91385467587196e-130	3.589111380112171e-130	3.284602519956584e-130	2.9997319447548564e-130	2.7338108009130554e-130	2.4859035320221383e-130	2.255298871972212e-130	2.0414917304877777e-130	1.8434384578984545e-130	1.6604416442276774e-130	1.4921330968660537e-130	1.3377650235265262e-130	1.1964602418115703e-130	1.0673717925720295e-130	9.496905984867684e-131	8.429466785762292e-131	7.473074295454731e-131	6.620049482488463e-131	5.862697480083862e-131	5.196303734391449e-131	4.612651649972554e-131	4.099892241731144e-131	3.641686316658746e-131	3.2261351021455435e-131	2.8436831688426e-131	2.454734327343571e-131	2.087373380256741e-131	1.7627148625133105e-131	1.4822038763492063e-131	1.241571816959979e-131	1.0351160623024771e-131	8.581767222857922e-132	7.076373556523837e-132	5.810368353538243e-132	4.7573159415619483e-132	3.883926925053871e-132	3.158628765569478e-132	2.5585056873111597e-132	1.843915105623228e-128	1.107203459366087e-99	1.0328892891324184e-82	2.1259462630375984e-67	2.5392916781856044e-55	1.1460418722205531e-45	5.560303418358995e-38	7.143693048237585e-32	5.535418702456199e-27	5.301591553434443e-23	1.0095306720005872e-19	4.866529451690363e-17	7.122995200194818e-15	3.8770180810334434e-13	9.66251253446678e-12	1.318911680839473e-10	1.17391548079904e-09	8.129279175392402e-09	4.776366079819282e-08	2.2988279558791108e-07	8.637335487018855e-07	2.520973526846306e-06	5.8484213552143775e-06	1.1126972153060335e-05	1.7900076871487574e-05	2.5012592579221516e-05	3.105930884260191e-05	3.493336691069176e-05	3.615991017358448e-05	3.491030078673509e-05	3.1790813406008224e-05	2.756751066876822e-05	2.2947724199913233e-05	1.846296715957213e-05	1.4441643140563386e-05	1.103695948913185e-05	8.276718242773694e-06	6.11295648268773e-06	4.461068317704318e-06	3.2260901624638937e-06	2.317932954286991e-06	1.6586550869117005e-06	1.1847088311048943e-06	8.463951866585922e-07	6.060203624266362e-07	4.356527227710951e-07	3.1496248752622497e-07	2.29355551789286e-07	1.6845841375284918e-07	1.2494397325831256e-07	9.365795561980633e-08	7.098652317507341e-08	5.440329034256671e-08	4.214549111028341e-08	3.298316015521154e-08	2.605624194250578e-08	2.0761685035498304e-08	1.6678443869958898e-08	1.3539405122952685e-08	
CH3 + C2H5 => C2H4 + CH4	7.921122798137225e-06	8.335972401190563e-06	8.43137149327853e-06	8.491955600923534e-06	8.565833697464927e-06	8.627930313472931e-06	8.61378602708547e-06	8.463116810683581e-06	8.108313389003949e-06	7.511266728720176e-06	6.6798540843597155e-06	5.6766938530289e-06	4.595045336239494e-06	3.529215037678134e-06	2.5663877481479217e-06	1.7682806474173324e-06	1.1586893694612866e-06	7.23339651809723e-07	4.3735963629216903e-07	2.6387163332999704e-07	1.7613369427109838e-07	1.6114366635941316e-07	2.512960649849011e-07	5.468716007487295e-07	6.661528888561224e-07	2.3819576833431898e-07	4.0963004094047003e-08	5.51962426019297e-09	9.821858192936164e-10	2.4743661521315446e-10	7.588594769447467e-11	2.5838341421825074e-11	9.483175040028016e-12	3.7700312631225634e-12	1.6268636123277385e-12	7.511530885805305e-13	3.6317608724873267e-13	1.807640525826608e-13	9.255887681091142e-14	4.898457202727413e-14	2.6494917532554015e-14	1.4202968700859821e-14	7.254949153343212e-15	3.4192906633164922e-15	1.4672403649113767e-15	5.776985722089715e-16	2.1373762507916582e-16	7.657710664289442e-17	2.7183215760459727e-17	9.735606056412934e-18	3.572799245487584e-18	1.3674525650144535e-18	5.616696932460929e-19	2.5542653555944043e-19	1.2697498311832437e-19	6.174936254312016e-20	3.0546117650378626e-20	1.6032146104532535e-20	9.168473103633534e-21	6.661631764420677e-21	8.36052802781374e-21	1.5980057609953488e-20	3.090259939174037e-20	5.148550160810147e-20	7.24646184785485e-20	8.746714861362658e-20	9.244373887242908e-20	8.727042154401114e-20	7.489638375053382e-20	5.933022279581001e-20	4.395439305588025e-20	3.079820810858034e-20	2.0608344388359196e-20	1.3279197255228403e-20	8.299361593681105e-21	5.06282845022868e-21	3.0311563951385716e-21	1.789721114704335e-21	1.046561235997581e-21	6.083821385493552e-22	3.5276751004950687e-22	2.0466813540244262e-22	1.1915891052185191e-22	6.981066151867181e-23	4.126604177319479e-23	2.4674382573511896e-23	1.4961871070026234e-23	9.222601170516317e-24	5.7942151401000564e-24	3.721747284731503e-24	2.453698842800109e-24	1.6699265763126027e-24	1.18466286957614e-24	8.902952991991973e-25	7.2256876165207505e-25	6.393629339747027e-25	6.129554709091283e-25	6.496677734191082e-25	9.50579108237448e-25	2.94384056114848e-24	
