Num	Type	Reaction Num.
1	P	1
2	P	2
3	P	3
4	P	4
5	P	5
6	P	6
7	P	7
8	P	11
9	P	20
10	P	21
11	P	22
12	P	23
13	P	32
14	P	33
15	P	34
16	P	35
17	P	36
18	P	37
19	P	38
20	P	39
21	P	40
22	P	41
23	P	42
24	P	43
25	P	44
26	P	56
27	P	57
28	P	58
29	P	59
30	P	60
31	P	61
32	P	62
33	P	63
34	P	64
35	P	65
36	P	66
37	P	67
38	P	68
39	P	69
40	P	70
41	P	71
42	R	1
43	R	2
44	R	3
45	R	5
46	R	6
47	R	9
48	R	10
49	R	11
50	R	12
51	R	14
52	R	15
53	R	16
54	R	17
55	R	18
56	R	19
57	R	20
58	R	21
59	R	22
60	R	23
61	R	24
62	R	25
63	R	26
64	R	27
65	R	28
66	R	29
67	R	30
68	R	31
69	R	32
70	R	33
71	R	34
72	R	35
73	R	36
74	R	37
75	R	38
76	R	39
77	R	40
78	R	41
79	R	44
80	R	45
81	R	46
82	R	48
83	R	49
84	R	50
85	R	51
86	R	52
87	R	53
88	R	55
89	R	56
90	R	57
91	R	59
92	R	60
93	R	61
94	R	62
95	R	63
96	R	64
97	R	65
98	R	66
99	R	67
100	R	69
101	R	70
102	R	71
103	R	72
104	R	73
105	R	74
106	R	75
107	R	76
108	R	77
109	R	78
110	R	79
111	R	81
112	R	91
113	R	92
114	R	93
115	R	94
116	R	95
117	R	96
118	R	98
119	R	99
120	R	100
121	R	101
122	R	108
123	R	109
124	R	110
125	R	111
126	R	112
127	R	113
128	R	114
129	R	115
130	R	116
131	R	117
132	R	118
133	R	119
134	R	120
135	R	121
136	R	122
137	R	123
138	R	124
139	R	127
140	R	128
141	R	129
142	R	130
143	R	131
144	R	132
145	R	133
146	R	134
147	R	135
148	R	136
149	R	137
150	R	138
151	R	140
152	R	141
153	R	142
154	R	143
155	R	145
156	R	146
157	R	147
158	R	148
159	R	149
160	R	152
161	R	153
162	R	154
163	R	157
164	R	159
165	R	162
166	R	163
167	R	164
168	R	165
169	R	166
170	R	167
171	R	168
172	R	169
173	R	171
174	R	172
175	R	173
176	R	174
177	R	180
178	R	181
179	R	182
180	R	183
181	R	186
182	R	187
183	R	188
184	R	192
185	R	193
186	R	195
187	R	196
188	R	197
189	R	198
190	R	199
191	R	200
192	R	201
193	R	202
194	R	203
195	R	204
196	R	206
197	R	207
198	R	209
199	R	212
200	R	214
201	R	215
202	R	217
203	R	218
204	R	219
