Num	Type	Reaction Num.
1	P	1
2	P	2
3	P	3
4	P	4
5	P	5
6	P	6
7	P	7
8	P	20
9	P	21
10	P	22
11	P	23
12	P	24
13	P	27
14	P	28
15	P	29
16	P	30
17	P	32
18	P	33
19	P	34
20	P	35
21	P	36
22	P	37
23	P	38
24	P	40
25	P	45
26	P	46
27	P	47
28	P	48
29	P	49
30	P	50
31	P	51
32	P	52
33	P	53
34	P	54
36	P	56
37	P	57
38	P	58
39	P	59
40	P	60
41	P	61
42	P	62
43	P	63
44	P	64
45	P	65
46	P	66
451	P	31
48	R	1
49	R	3
50	R	4
51	R	6
52	R	8
53	R	9
54	R	10
55	R	11
56	R	12
57	R	13
58	R	14
59	R	15
60	R	16
61	R	18
62	R	19
63	R	21
64	R	22
65	R	23
66	R	26
67	R	27
68	R	28
69	R	30
70	R	31
71	R	32
72	R	33
73	R	34
74	R	35
75	R	36
76	R	37
77	R	38
78	R	39
79	R	41
80	R	44
81	R	45
82	R	46
83	R	47
84	R	48
85	R	49
86	R	50
87	R	51
88	R	52
89	R	53
90	R	54
91	R	57
92	R	59
93	R	60
94	R	61
95	R	62
96	R	63
97	R	64
98	R	65
99	R	66
100	R	67
101	R	68
102	R	69
103	R	70
104	R	71
105	R	73
106	R	74
107	R	75
108	R	76
109	R	77
110	R	78
111	R	79
112	R	80
113	R	81
114	R	82
115	R	83
116	R	84
117	R	85
118	R	86
119	R	87
120	R	91
122	R	93
123	R	94
124	R	95
125	R	96
126	R	97
127	R	98
128	R	108
129	R	109
130	R	110
131	R	111
132	R	112
133	R	113
134	R	114
135	R	115
136	R	118
137	R	120
138	R	121
139	R	122
140	R	123
141	R	127
142	R	128
143	R	129
144	R	130
145	R	131
146	R	132
147	R	133
148	R	134
149	R	135
150	R	136
151	R	137
152	R	138
153	R	140
154	R	141
155	R	142
156	R	143
157	R	145
158	R	146
159	R	147
160	R	148
161	R	149
162	R	152
163	R	153
164	R	154
165	R	155
166	R	156
167	R	157
168	R	159
169	R	160
170	R	161
171	R	162
172	R	165
173	R	166
174	R	167
175	R	168
176	R	180
177	R	181
178	R	182
179	R	192
180	R	193
181	R	195
182	R	196
183	R	197
184	R	198
185	R	199
186	R	200
187	R	202
188	R	203
189	R	204
190	R	205
191	R	206
192	R	209
193	R	214
194	R	215
195	R	216
196	R	217
197	R	218
198	R	221
199	R	222
200	R	223
201	R	224
202	R	225
203	R	226
204	R	227
205	R	228
206	R	229
207	R	230
208	R	231
209	R	232
210	R	244
211	R	245
212	R	246
213	R	247
214	R	248
215	R	250
216	R	251
217	R	252
218	R	254
219	R	255
220	R	257
221	R	261
222	R	263
223	R	264
224	R	266
225	R	267
226	R	268
227	R	269
228	R	271
229	R	272
230	R	273
231	R	274
232	R	275
233	R	389
234	R	390
235	R	391
236	R	393
237	R	394
238	R	395
239	R	396
240	R	397
241	R	398
242	R	399
243	R	400
244	R	401
245	R	402
246	R	403
247	R	404
248	R	405
249	R	406
250	R	407
251	R	408
252	R	409
253	R	411
254	R	412
255	R	413
256	R	414
257	R	415
258	R	416
259	R	419
260	R	420
261	R	421
262	R	422
263	R	423
264	R	424
265	R	425
266	R	426
267	R	427
268	R	428
269	R	433
270	R	434
271	R	441
272	R	444
273	R	445
274	R	446
275	R	447
276	R	448
277	R	449
278	R	450
279	R	451
280	R	452
281	R	453
282	R	454
283	R	455
284	R	456
285	R	458
286	R	464
287	R	465
288	R	466
289	R	468
290	R	469
291	R	470
292	R	471
293	R	472
294	R	477
295	R	478
296	R	479
297	R	480
298	R	481
299	R	482
300	R	483
301	R	485
302	R	486
303	R	487
304	R	488
305	R	489
306	R	490
307	R	491
308	R	492
309	R	493
310	R	494
311	R	495
312	R	496
313	R	499
314	R	500
315	R	501
316	R	502
317	R	503
318	R	504
319	R	505
320	R	511
321	R	512
322	R	513
323	R	522
324	R	525
325	R	526
326	R	527
327	R	528
328	R	533
329	R	536
330	R	537
331	R	543
332	R	544
333	R	545
334	R	547
335	R	548
336	R	551
337	R	553
338	R	554
339	R	555
340	R	556
341	R	557
342	R	558
343	R	559
344	R	560
345	R	561
346	R	562
347	R	563
348	R	564
349	R	565
350	R	566
351	R	567
352	R	569
353	R	570
354	R	571
355	R	572
356	R	574
357	R	575
358	R	576
359	R	577
360	R	578
361	R	579
362	R	596
363	R	597
364	R	598
365	R	599
366	R	608
367	R	617
368	R	618
369	R	645
452	R	7
453	R	88
454	R	89
455	R	90
456	R	103
457	R	104
458	R	106
459	R	107
460	R	125
461	R	126
462	R	467
463	R	473
464	R	474
465	R	475
466 R	538
467 R	540
468	R	546
373	M	2
374	M	3
375	M	4
376	M	5
377	M	6
378	M	7
379	M	9
380	M	10
381	M	12
382	M	13
383	M	16
384	M	17
385	M	18
386	M	19
387	M	21
388	M	31
389	M	34
390	M	35
391	M	37
392	M	38
393	M	44
394	M	45
395	M	46
396	M	47
397	M	48
398	M	49
399	M	50
400	M	51
401	M	52
402	M	53
403	M	54
404	M	55
405	M	56
406	M	57
407	M	58
408	M	73
409	T	1
410	T	2
411	T	3
412	T	14
413	T	15
414	T	16
415	T	17
416	T	18
417	T	19
418	T	20
419	T	21
420	T	22
421	T	23
422	T	24
423	T	25
424	T	26
425	T	27
426	T	28
427	T	29
428	T	30
429	T	31
430	T	32
431	T	33
432	T	34
433	T	35
434	T	36
435	T	37
436	T	38
437	T	41
438	T	42
439	T	43
440	T	44
441	T	46
442	T	47
443	T	48
444	T	49
445	T	53
446	T	54
447	T	55
448	T	56
449	T	58
450	T	59
469	T	60
