Num	Type	Reaction Num.
1	P	1
2	P	2
3	P	3
4	P	4
5	P	5
6	P	6
7	P	7
8	P	20
9	P	21
10	P	22
11	P	23
12	P	24
13	P	27
14	P	29
15	P	30
16	P	32
17	P	33
18	P	34
19	P	35
20	P	36
21	P	37
22	P	38
23	P	40
24	P	45
25	P	46
26	P	47
27	P	48
28	P	49
29	P	50
30	P	51
31	P	52
32	P	53
33	P	54
35	P	56
36	P	57
37	P	58
38	P	59
39	P	60
40	P	61
41	P	62
42	P	63
43	P	64
44	P	65
45	P	66
46	R	1
47	R	3
48	R	4
49	R	6
50	R	8
51	R	9
52	R	10
53	R	11
54	R	12
55	R	13
56	R	14
57	R	15
58	R	16
59	R	18
60	R	19
61	R	21
62	R	22
63	R	23
64	R	26
65	R	27
66	R	28
67	R	30
68	R	31
69	R	32
70	R	33
71	R	34
72	R	35
73	R	36
74	R	37
75	R	38
76	R	39
77	R	41
78	R	44
79	R	45
80	R	46
81	R	47
82	R	48
83	R	49
84	R	50
85	R	51
86	R	52
87	R	53
88	R	54
89	R	57
90	R	59
91	R	60
92	R	61
93	R	62
94	R	63
95	R	64
96	R	65
97	R	66
98	R	67
99	R	68
100	R	69
101	R	70
102	R	71
103	R	73
104	R	74
105	R	75
106	R	76
107	R	77
108	R	78
109	R	79
110	R	80
111	R	81
112	R	82
113	R	83
114	R	84
115	R	85
116	R	86
117	R	87
118	R	91
120	R	93
121	R	94
122	R	95
123	R	96
124	R	97
125	R	98
126	R	108
127	R	109
128	R	110
129	R	111
130	R	112
131	R	113
132	R	114
133	R	115
134	R	118
135	R	120
136	R	121
137	R	122
138	R	123
139	R	127
140	R	128
141	R	129
142	R	130
143	R	131
144	R	132
145	R	133
146	R	134
147	R	135
148	R	136
149	R	137
150	R	138
151	R	140
152	R	141
153	R	142
154	R	143
155	R	145
156	R	146
158	R	148
159	R	149
160	R	152
161	R	153
162	R	154
163	R	155
164	R	156
165	R	157
166	R	159
167	R	160
168	R	161
169	R	162
170	R	165
171	R	166
172	R	167
173	R	168
174	R	180
175	R	181
176	R	182
177	R	192
179	R	195
180	R	196
181	R	197
182	R	198
183	R	199
184	R	200
185	R	202
186	R	203
187	R	204
188	R	205
189	R	206
190	R	209
191	R	214
192	R	215
193	R	216
194	R	217
195	R	218
196	R	221
197	R	222
198	R	223
199	R	224
200	R	225
201	R	226
202	R	227
203	R	228
204	R	229
205	R	230
206	R	231
207	R	232
208	R	244
209	R	245
210	R	246
211	R	247
212	R	248
213	R	250
214	R	251
215	R	252
216	R	254
217	R	255
218	R	257
219	R	261
220	R	263
221	R	264
222	R	266
223	R	267
224	R	268
225	R	269
226	R	271
227	R	272
228	R	273
229	R	274
230	R	275
231	R	389
232	R	390
233	R	391
234	R	393
235	R	394
236	R	395
237	R	396
238	R	397
239	R	398
240	R	399
241	R	400
242	R	401
243	R	402
244	R	403
245	R	404
246	R	405
247	R	406
248	R	407
249	R	408
250	R	409
251	R	411
252	R	412
253	R	413
254	R	414
255	R	415
256	R	416
257	R	419
258	R	420
259	R	421
260	R	422
261	R	423
262	R	424
263	R	425
264	R	426
265	R	427
266	R	433
267	R	434
268	R	441
269	R	444
270	R	445
271	R	446
272	R	447
273	R	448
274	R	449
275	R	450
276	R	451
277	R	452
278	R	453
279	R	454
280	R	455
281	R	456
282	R	458
283	R	464
284	R	465
285	R	466
286	R	468
287	R	469
288	R	470
289	R	471
290	R	472
291	R	477
292	R	478
293	R	479
294	R	480
295	R	481
296	R	482
297	R	483
298	R	485
299	R	486
300	R	487
301	R	488
302	R	489
303	R	490
304	R	491
305	R	492
306	R	493
307	R	495
308	R	496
309	R	499
310	R	500
311	R	501
312	R	502
313	R	503
314	R	504
315	R	511
316	R	512
317	R	513
318	R	522
319	R	525
320	R	526
321	R	527
322	R	528
323	R	533
324	R	536
325	R	537
326	R	543
327	R	544
328	R	545
329	R	547
330	R	548
331	R	551
332	R	553
333	R	554
334	R	555
335	R	556
336	R	557
337	R	558
338	R	559
339	R	560
340	R	561
341	R	562
342	R	563
343	R	564
344	R	565
345	R	566
346	R	567
347	R	569
348	R	570
349	R	571
350	R	572
351	R	574
352	R	575
353	R	576
354	R	577
355	R	578
356	R	579
357	R	596
358	R	597
359	R	598
360	R	599
361	R	608
362	R	617
363	R	618
364	M	2
365	M	3
366	M	4
367	M	5
368	M	6
369	M	7
370	M	9
371	M	10
372	M	12
373	M	13
374	M	16
375	M	17
376	M	18
377	M	19
378	M	21
379	M	31
380	M	34
381	M	35
382	M	37
383	M	38
384	M	44
385	M	45
386	M	46
387	M	47
388	M	48
389	M	49
390	M	50
391	M	51
392	M	52
393	M	53
394	M	54
395	M	55
396	M	56
397	M	57
398	M	58
399	M	73
666	M	88
400	T	1
401	T	2
402	T	3
403	T	14
404	T	15
405	T	16
406	T	17
407	T	18
408	T	19
409	T	20
410	T	21
411	T	22
412	T	23
413	T	24
414	T	25
415	T	26
416	T	27
417	T	28
418	T	29
419	T	30
420	T	31
421	T	32
422	T	33
423	T	34
424	T	35
425	T	36
426	T	37
427	T	38
428	T	41
429	T	42
430	T	43
431	T	44
433	T	46
434	T	47
435	T	53
436	T	54
437	T	55
438	T	56
439	T	58
440	T	59
